03/03/21 10:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 10:53, E27G37, 16, Overcast, FEW023SCT050OVC060, 13.3, 7.2, , , 67%, NA, NA, 75.77, 1010.2, 0.03, , 
---
Minute since start, Events per minute
1, 87
2, 88
3, 56
4, 90
5, 68
6, 96
7, 72
8, 93
9, 78
10, 79
11, 88
12, 85
13, 82
14, 73
15, 93
16, 86
17, 82
18, 81
19, 102
20, 86
21, 76
22, 78
23, 79
24, 93
25, 83
26, 94
27, 89
28, 73
29, 87
30, 82
31, 74
32, 101
33, 98
34, 89
35, 104
36, 95
37, 82
38, 88
39, 92
40, 89
41, 85
42, 83
43, 92
44, 94
45, 79
46, 81
47, 90
48, 111
49, 75
50, 94
51, 78
52, 84
53, 64
54, 86
55, 87
56, 97
57, 99
58, 71
59, 80
60, 97
