03/03/21 11:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 11:53, SE23G34, 16, Overcast, FEW040BKN060OVC080, 12.8, 7.8, , , 72%, NA, NA, 75.77, 1010.2, , , 
---
Minute since start, Events per minute
1, 73
2, 86
3, 78
4, 90
5, 77
6, 86
7, 96
8, 79
9, 111
10, 93
11, 93
12, 85
13, 86
14, 66
15, 81
16, 76
17, 90
18, 82
19, 98
20, 77
21, 94
22, 91
23, 85
24, 79
25, 92
26, 76
27, 93
28, 98
29, 106
30, 78
31, 83
32, 91
33, 89
34, 78
35, 82
36, 84
37, 88
38, 76
39, 82
40, 68
41, 83
42, 74
43, 80
44, 90
45, 80
46, 85
47, 98
48, 88
49, 88
50, 100
51, 105
52, 84
53, 83
54, 72
55, 84
56, 78
57, 92
58, 90
59, 83
60, 86
