03/03/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 12:53, E24, 16, Overcast, SCT040OVC080, 13.3, 7.2, , , 67%, NA, NA, 75.74, 1009.6, , 0.03, 
---
Minute since start, Events per minute
1, 86
2, 93
3, 98
4, 83
5, 112
6, 77
7, 94
8, 93
9, 82
10, 77
11, 100
12, 98
13, 83
14, 77
15, 104
16, 100
17, 84
18, 99
19, 78
20, 95
21, 89
22, 76
23, 75
24, 89
25, 81
26, 96
27, 79
28, 104
29, 83
30, 78
31, 89
32, 80
33, 88
34, 85
35, 95
36, 76
37, 82
38, 82
39, 80
40, 77
41, 80
42, 85
43, 75
44, 108
45, 72
46, 78
47, 91
48, 80
49, 82
50, 85
51, 69
52, 81
53, 94
54, 88
55, 103
56, 91
57, 95
58, 78
59, 84
60, 85
