03/03/21 13:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 13:53, SE19, 16, Mostly Cloudy, FEW025BKN100, 15, 6.7, , , 58%, NA, NA, 75.77, 1010.2, , , 
---
Minute since start, Events per minute
1, 87
2, 79
3, 78
4, 87
5, 85
6, 85
7, 63
8, 101
9, 89
10, 73
11, 84
12, 99
13, 102
14, 108
15, 83
16, 95
17, 93
18, 85
19, 96
20, 88
21, 77
22, 96
23, 99
24, 97
25, 78
26, 92
27, 78
28, 72
29, 95
30, 76
31, 91
32, 105
33, 89
34, 79
35, 79
36, 89
37, 96
38, 88
39, 82
40, 82
41, 85
42, 100
43, 73
44, 83
45, 88
46, 79
47, 84
48, 85
49, 99
50, 81
51, 92
52, 91
53, 86
54, 95
55, 92
56, 81
57, 88
58, 70
59, 91
60, 83
