03/03/21 14:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 14:53, SE23, 16, Mostly Cloudy, SCT070BKN100, 13.9, 6.1, , , 60%, NA, NA, 75.84, 1011.1, , , 
---
Minute since start, Events per minute
1, 75
2, 81
3, 75
4, 76
5, 83
6, 84
7, 100
8, 92
9, 75
10, 93
11, 76
12, 83
13, 77
14, 95
15, 105
16, 110
17, 97
18, 97
19, 101
20, 78
21, 82
22, 98
23, 77
24, 101
25, 81
26, 78
27, 88
28, 80
29, 87
30, 89
31, 83
32, 96
33, 92
34, 75
35, 82
36, 91
37, 94
38, 84
39, 79
40, 76
41, 82
42, 92
43, 90
44, 89
45, 85
46, 82
47, 90
48, 95
49, 83
50, 94
51, 93
52, 93
53, 83
54, 70
55, 86
56, 98
57, 93
58, 86
59, 74
60, 76
