03/03/21 16:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 16:53, SE5, 16, Mostly Cloudy, BKN075, 13.3, 7.8, , , 70%, NA, NA, 75.95, 1012.5, , , 
---
Minute since start, Events per minute
1, 89
2, 75
3, 78
4, 88
5, 93
6, 82
7, 96
8, 84
9, 90
10, 98
11, 71
12, 100
13, 77
14, 81
15, 74
16, 103
17, 77
18, 89
19, 80
20, 95
21, 78
22, 100
23, 96
24, 97
25, 82
26, 91
27, 85
28, 83
29, 85
30, 84
31, 72
32, 80
33, 73
34, 82
35, 84
36, 96
37, 100
38, 89
39, 86
40, 73
41, 78
42, 85
43, 77
44, 84
45, 75
46, 92
47, 79
48, 93
49, 91
50, 85
51, 92
52, 88
53, 86
54, 90
55, 95
56, 95
57, 103
58, 78
59, 104
60, 100
61, 1
