03/03/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 18:53, NW5, 16, Mostly Cloudy, BKN060, 10.6, 6.7, , , 77%, NA, NA, 76.07, 1014.1, , , 
---
Minute since start, Events per minute
1, 74
2, 65
3, 107
4, 93
5, 101
6, 77
7, 86
8, 94
9, 91
10, 85
11, 86
12, 88
13, 80
14, 85
15, 79
16, 99
17, 87
18, 94
19, 93
20, 88
21, 84
22, 88
23, 89
24, 101
25, 77
26, 85
27, 79
28, 105
29, 90
30, 101
31, 90
32, 84
33, 74
34, 85
35, 101
36, 83
37, 87
38, 91
39, 86
40, 92
41, 101
42, 82
43, 71
44, 67
45, 86
46, 85
47, 64
48, 81
49, 76
50, 79
51, 86
52, 73
53, 87
54, 71
55, 82
56, 86
57, 86
58, 70
59, 71
60, 82
