03/03/21 18:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 18:53, NW5, 16, Mostly Cloudy, BKN060, 10.6, 6.7, , , 77%, NA, NA, 76.07, 1014.1, , , 
---
Incident number, relative time since start, timestamp
1, 0.9531019509959151, 2021-03-03 19:00:03.757497
2, 1.9295249919960042, 2021-03-03 19:00:04.733950
3, 4.059134156996151, 2021-03-03 19:00:06.863567
4, 4.85221928700048, 2021-03-03 19:00:07.656667
5, 5.915649169997778, 2021-03-03 19:00:08.720097
6, 8.65155584999593, 2021-03-03 19:00:11.455997
7, 8.71225246299582, 2021-03-03 19:00:11.516702
8, 9.065591701000812, 2021-03-03 19:00:11.870040
9, 10.837474351996207, 2021-03-03 19:00:13.641916
10, 10.860502723000536, 2021-03-03 19:00:13.664952
11, 11.174701413001458, 2021-03-03 19:00:13.979151
12, 12.242806039997959, 2021-03-03 19:00:15.047255
13, 13.848777567996876, 2021-03-03 19:00:16.653226
14, 14.241919752996182, 2021-03-03 19:00:17.046364
15, 14.396815968000737, 2021-03-03 19:00:17.201264
16, 15.355678520994843, 2021-03-03 19:00:18.160123
17, 15.511548285998288, 2021-03-03 19:00:18.315998
18, 15.532500287001312, 2021-03-03 19:00:18.336950
19, 16.126423613000952, 2021-03-03 19:00:18.930868
20, 20.836830975997145, 2021-03-03 19:00:23.641273
21, 20.855442076994223, 2021-03-03 19:00:23.659892
22, 21.195080129000416, 2021-03-03 19:00:23.999527
23, 21.95790597800078, 2021-03-03 19:00:24.762353
24, 21.994914963994233, 2021-03-03 19:00:24.799364
25, 22.516823268000735, 2021-03-03 19:00:25.321272
26, 23.144663426995976, 2021-03-03 19:00:25.949113
27, 23.410732298994844, 2021-03-03 19:00:26.215182
28, 24.632509860995924, 2021-03-03 19:00:27.436958
29, 25.60765551199438, 2021-03-03 19:00:28.412105
30, 27.18517450899526, 2021-03-03 19:00:29.989620
31, 27.532364829996368, 2021-03-03 19:00:30.336810
32, 27.766436888996395, 2021-03-03 19:00:30.570886
33, 28.25315268599661, 2021-03-03 19:00:31.057601
34, 28.53598159399553, 2021-03-03 19:00:31.340431
35, 28.606141172997013, 2021-03-03 19:00:31.410591
36, 28.949488746999123, 2021-03-03 19:00:31.753938
37, 29.651893745998677, 2021-03-03 19:00:32.456343
38, 31.41821436299506, 2021-03-03 19:00:34.222663
39, 31.808916368994687, 2021-03-03 19:00:34.613366
40, 32.47005249100039, 2021-03-03 19:00:35.274501
41, 32.50085203300114, 2021-03-03 19:00:35.305302
42, 34.58741197699419, 2021-03-03 19:00:37.391857
43, 34.716786856995896, 2021-03-03 19:00:37.521237
44, 35.26644831299927, 2021-03-03 19:00:38.070898
45, 36.284047843000735, 2021-03-03 19:00:39.088496
46, 37.19547400200099, 2021-03-03 19:00:39.999922
47, 37.68225539999548, 2021-03-03 19:00:40.486705
48, 37.98517117699521, 2021-03-03 19:00:40.789621
49, 38.291658953996375, 2021-03-03 19:00:41.096108
50, 39.831229445000645, 2021-03-03 19:00:42.635679
51, 40.47778222499619, 2021-03-03 19:00:43.282232
52, 40.791694332998304, 2021-03-03 19:00:43.596144
53, 41.39117396299844, 2021-03-03 19:00:44.195622
54, 41.46882985499542, 2021-03-03 19:00:44.273280
55, 41.52258735399664, 2021-03-03 19:00:44.327037
56, 41.52706288499758, 2021-03-03 19:00:44.331513
57, 41.74767177399917, 2021-03-03 19:00:44.552121
58, 42.878968541001086, 2021-03-03 19:00:45.683418
59, 43.10844664499746, 2021-03-03 19:00:45.912896
60, 45.60613848199864, 2021-03-03 19:00:48.410585
61, 45.6481539209999, 2021-03-03 19:00:48.452604
62, 47.68967299799988, 2021-03-03 19:00:50.494118
63, 49.13296875599917, 2021-03-03 19:00:51.937418
64, 49.13368410700059, 2021-03-03 19:00:51.938134
65, 49.69950583299942, 2021-03-03 19:00:52.503955
66, 50.42266186000052, 2021-03-03 19:00:53.227112
67, 51.80969142099639, 2021-03-03 19:00:54.614139
68, 52.410235698996985, 2021-03-03 19:00:55.214685
69, 53.31836897700123, 2021-03-03 19:00:56.122818
70, 53.574408078995475, 2021-03-03 19:00:56.378858
71, 56.298776875999465, 2021-03-03 19:00:59.103221
72, 56.622232581998105, 2021-03-03 19:00:59.426681
73, 57.40488810799434, 2021-03-03 19:01:00.209336
74, 57.6169778830008, 2021-03-03 19:01:00.421428
75, 59.04947244899813, 2021-03-03 19:01:01.853903
76, 59.211022356001195, 2021-03-03 19:01:02.015455
77, 59.555325935994915, 2021-03-03 19:01:02.359760
78, 61.49095274499996, 2021-03-03 19:01:04.295392
79, 61.782743992996984, 2021-03-03 19:01:04.587193
80, 62.02807976299664, 2021-03-03 19:01:04.832528
81, 62.75137935499515, 2021-03-03 19:01:05.555828
82, 62.854516211999, 2021-03-03 19:01:05.658966
83, 63.68951144399762, 2021-03-03 19:01:06.493960
84, 63.917737404000945, 2021-03-03 19:01:06.722187
85, 64.40284847099974, 2021-03-03 19:01:07.207291
86, 66.76490569199814, 2021-03-03 19:01:09.569350
87, 67.34769531199709, 2021-03-03 19:01:10.152142
88, 67.53565654699923, 2021-03-03 19:01:10.340099
89, 68.47846420599672, 2021-03-03 19:01:11.282906
90, 68.55608573000063, 2021-03-03 19:01:11.360535
91, 68.79728875399451, 2021-03-03 19:01:11.601738
92, 69.57342274300026, 2021-03-03 19:01:12.377868
93, 70.08940570199775, 2021-03-03 19:01:12.893855
94, 70.1656108199968, 2021-03-03 19:01:12.970060
95, 70.39744412699656, 2021-03-03 19:01:13.201894
96, 71.51913160299591, 2021-03-03 19:01:14.323576
97, 71.60915986399777, 2021-03-03 19:01:14.413604
98, 72.75028607100103, 2021-03-03 19:01:15.554726
99, 73.55114304200106, 2021-03-03 19:01:16.355591
100, 74.28859432599711, 2021-03-03 19:01:17.093043
101, 74.97030076199735, 2021-03-03 19:01:17.774750
102, 75.22812683200027, 2021-03-03 19:01:18.032576
103, 75.96195607399568, 2021-03-03 19:01:18.766406
104, 76.0259262529944, 2021-03-03 19:01:18.830375
105, 76.45489247599471, 2021-03-03 19:01:19.259340
106, 76.73617323999497, 2021-03-03 19:01:19.540623
107, 77.11077457299689, 2021-03-03 19:01:19.915223
108, 79.9708926739986, 2021-03-03 19:01:22.775338
109, 82.09482221399958, 2021-03-03 19:01:24.899263
110, 83.87338329499471, 2021-03-03 19:01:26.677831
111, 84.21672784700058, 2021-03-03 19:01:27.021177
112, 84.25813372399716, 2021-03-03 19:01:27.062584
113, 85.39042342299945, 2021-03-03 19:01:28.194872
114, 86.10430841299967, 2021-03-03 19:01:28.908757
115, 86.1576106499997, 2021-03-03 19:01:28.962060
116, 88.37663063999935, 2021-03-03 19:01:31.181078
117, 88.81425307699828, 2021-03-03 19:01:31.618703
118, 89.44987769599538, 2021-03-03 19:01:32.254327
119, 92.19714664699859, 2021-03-03 19:01:35.001594
120, 92.84419247500045, 2021-03-03 19:01:35.648637
121, 93.11955458099692, 2021-03-03 19:01:35.924002
122, 93.72735777399794, 2021-03-03 19:01:36.531806
123, 93.88551672799804, 2021-03-03 19:01:36.689967
124, 95.11382294500072, 2021-03-03 19:01:37.918266
125, 95.17044278699905, 2021-03-03 19:01:37.974892
126, 95.66387104000023, 2021-03-03 19:01:38.468320
127, 95.91367247599555, 2021-03-03 19:01:38.718122
128, 96.6414529370013, 2021-03-03 19:01:39.445900
129, 96.64155984099489, 2021-03-03 19:01:39.446010
130, 97.26363896299881, 2021-03-03 19:01:40.068087
131, 98.37462713599962, 2021-03-03 19:01:41.179075
132, 99.00305373499577, 2021-03-03 19:01:41.807502
133, 99.21242369699758, 2021-03-03 19:01:42.016873
134, 99.67872420099593, 2021-03-03 19:01:42.483174
135, 100.16024657299567, 2021-03-03 19:01:42.964696
136, 100.19301195499429, 2021-03-03 19:01:42.997462
137, 100.84540385799482, 2021-03-03 19:01:43.649853
138, 102.45224067399977, 2021-03-03 19:01:45.256689
139, 103.4008471499983, 2021-03-03 19:01:46.205296
140, 103.91478685699985, 2021-03-03 19:01:46.719236
141, 104.32828960099869, 2021-03-03 19:01:47.132739
142, 104.53145197299455, 2021-03-03 19:01:47.335902
143, 105.64621665699815, 2021-03-03 19:01:48.450666
144, 105.66544731299655, 2021-03-03 19:01:48.469897
145, 105.78353471699666, 2021-03-03 19:01:48.587985
146, 107.48719575499854, 2021-03-03 19:01:50.291640
147, 109.02627898899664, 2021-03-03 19:01:51.830726
148, 109.46022784099478, 2021-03-03 19:01:52.264677
149, 109.7261048779983, 2021-03-03 19:01:52.530555
150, 111.02115515399782, 2021-03-03 19:01:53.825596
151, 111.21432640399871, 2021-03-03 19:01:54.018774
152, 111.63780068000051, 2021-03-03 19:01:54.442250
153, 112.29117662099452, 2021-03-03 19:01:55.095620
154, 112.76537806799752, 2021-03-03 19:01:55.569826
155, 113.5608179829942, 2021-03-03 19:01:56.365267
156, 113.99915094199969, 2021-03-03 19:01:56.803601
157, 114.15755671399529, 2021-03-03 19:01:56.962007
158, 114.91145660599432, 2021-03-03 19:01:57.715901
159, 114.96636016800039, 2021-03-03 19:01:57.770810
160, 115.17411160800111, 2021-03-03 19:01:57.978558
161, 115.18779022200033, 2021-03-03 19:01:57.992240
162, 116.33351731199946, 2021-03-03 19:01:59.137965
163, 116.91112126799999, 2021-03-03 19:01:59.715567
164, 117.17802531399502, 2021-03-03 19:01:59.982472
165, 117.42886973399436, 2021-03-03 19:02:00.233319
166, 118.05235248900135, 2021-03-03 19:02:00.856802
167, 118.27077142200142, 2021-03-03 19:02:01.075221
168, 118.30018374700012, 2021-03-03 19:02:01.104634
169, 119.61324782700103, 2021-03-03 19:02:02.417695
170, 120.21109798600082, 2021-03-03 19:02:03.015547
171, 121.79618006999954, 2021-03-03 19:02:04.600622
172, 122.0607299100011, 2021-03-03 19:02:04.865180
173, 122.77003020899429, 2021-03-03 19:02:05.574479
174, 123.13770833399758, 2021-03-03 19:02:05.942158
175, 124.57688233500085, 2021-03-03 19:02:07.381331
176, 126.25724301599985, 2021-03-03 19:02:09.061692
177, 126.87862674200005, 2021-03-03 19:02:09.683073
178, 128.59515755699977, 2021-03-03 19:02:11.399605
179, 128.7438084489986, 2021-03-03 19:02:11.548258
180, 128.9918122789968, 2021-03-03 19:02:11.796262
181, 129.4668653089975, 2021-03-03 19:02:12.271314
182, 129.94357483500062, 2021-03-03 19:02:12.748024
183, 130.34844535199954, 2021-03-03 19:02:13.152895
184, 130.37091829999554, 2021-03-03 19:02:13.175368
185, 130.75173211599758, 2021-03-03 19:02:13.556182
186, 130.85337603600055, 2021-03-03 19:02:13.657826
187, 131.13084106799943, 2021-03-03 19:02:13.935290
188, 131.39673987599963, 2021-03-03 19:02:14.201190
189, 131.5275842599949, 2021-03-03 19:02:14.332034
190, 131.5523873159982, 2021-03-03 19:02:14.356837
191, 132.12172788799944, 2021-03-03 19:02:14.926170
192, 132.798592551997, 2021-03-03 19:02:15.603041
193, 132.90686326899595, 2021-03-03 19:02:15.711313
194, 134.39660871499655, 2021-03-03 19:02:17.201058
195, 135.23064696199435, 2021-03-03 19:02:18.035096
196, 135.63544848199672, 2021-03-03 19:02:18.439898
197, 136.22475830799522, 2021-03-03 19:02:19.029205
198, 136.48409862699918, 2021-03-03 19:02:19.288547
199, 137.5405808669966, 2021-03-03 19:02:20.345028
200, 137.69513406400074, 2021-03-03 19:02:20.499584
201, 137.89182115699805, 2021-03-03 19:02:20.696271
202, 137.9980503189945, 2021-03-03 19:02:20.802500
203, 138.61681891199987, 2021-03-03 19:02:21.421268
204, 138.9168368909959, 2021-03-03 19:02:21.721287
205, 139.06198973499704, 2021-03-03 19:02:21.866440
206, 139.20421735700074, 2021-03-03 19:02:22.008667
207, 140.48093397399498, 2021-03-03 19:02:23.285383
208, 140.65697507599543, 2021-03-03 19:02:23.461425
209, 142.4996836729988, 2021-03-03 19:02:25.304133
210, 143.41858057199715, 2021-03-03 19:02:26.223030
211, 143.4426491119957, 2021-03-03 19:02:26.247099
212, 145.02757655899768, 2021-03-03 19:02:27.832026
213, 145.49072715499642, 2021-03-03 19:02:28.295175
214, 145.5153523669942, 2021-03-03 19:02:28.319803
215, 145.5922632199945, 2021-03-03 19:02:28.396713
216, 145.78593253199506, 2021-03-03 19:02:28.590383
217, 146.21305509499507, 2021-03-03 19:02:29.017505
218, 146.55701344699628, 2021-03-03 19:02:29.361463
219, 147.18070817999978, 2021-03-03 19:02:29.985157
220, 147.48061003499606, 2021-03-03 19:02:30.285060
221, 148.32011427099496, 2021-03-03 19:02:31.124564
222, 149.60095443399769, 2021-03-03 19:02:32.405404
223, 150.02508391999436, 2021-03-03 19:02:32.829534
224, 150.9956445719945, 2021-03-03 19:02:33.800094
225, 151.21548678699764, 2021-03-03 19:02:34.019937
226, 151.21990067599836, 2021-03-03 19:02:34.024351
227, 151.89784615799726, 2021-03-03 19:02:34.702296
228, 151.9637707180009, 2021-03-03 19:02:34.768221
229, 152.4089758659975, 2021-03-03 19:02:35.213426
230, 152.87735178399453, 2021-03-03 19:02:35.681798
231, 156.3029919249966, 2021-03-03 19:02:39.107437
232, 156.93572012899676, 2021-03-03 19:02:39.740168
233, 157.20666654899833, 2021-03-03 19:02:40.011116
234, 158.06572537699685, 2021-03-03 19:02:40.870174
235, 158.4255907869956, 2021-03-03 19:02:41.230040
236, 158.52139113599696, 2021-03-03 19:02:41.325841
237, 158.60083626699634, 2021-03-03 19:02:41.405286
238, 158.7837287959992, 2021-03-03 19:02:41.588179
239, 158.87599388299714, 2021-03-03 19:02:41.680444
240, 160.7139175170014, 2021-03-03 19:02:43.518367
241, 161.65465627799858, 2021-03-03 19:02:44.459105
242, 162.940895902997, 2021-03-03 19:02:45.745344
243, 163.40911884499656, 2021-03-03 19:02:46.213564
244, 165.58930884100118, 2021-03-03 19:02:48.393757
245, 168.2774335590002, 2021-03-03 19:02:51.081879
246, 168.97214576799888, 2021-03-03 19:02:51.776595
247, 169.68440552099491, 2021-03-03 19:02:52.488854
248, 170.1357206879984, 2021-03-03 19:02:52.940170
249, 170.21676011900126, 2021-03-03 19:02:53.021210
250, 170.49295917899872, 2021-03-03 19:02:53.297409
251, 171.00016861499898, 2021-03-03 19:02:53.804619
252, 171.8700267460008, 2021-03-03 19:02:54.674475
253, 172.44299344799947, 2021-03-03 19:02:55.247443
