03/03/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 21:53, Calm, 16, Fair, CLR, 7.8, 4.4, 15, 7.2, 79%, NA, NA, 76.33, 1017.4, , , 
---
Minute since start, Events per minute
1, 87
2, 90
3, 81
4, 96
5, 104
6, 89
7, 91
8, 88
9, 95
10, 75
11, 70
12, 97
13, 88
14, 84
15, 73
16, 88
17, 97
18, 101
19, 84
20, 97
21, 79
22, 88
23, 71
24, 78
25, 69
26, 92
27, 90
28, 90
29, 82
30, 93
31, 81
32, 83
33, 80
34, 85
35, 91
36, 89
37, 75
38, 72
39, 67
40, 89
41, 74
42, 82
43, 91
44, 84
45, 84
46, 78
47, 77
48, 81
49, 95
50, 76
51, 94
52, 78
53, 79
54, 94
55, 71
56, 84
57, 84
58, 79
59, 81
60, 99
