03/03/21 08:59:03
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
03, 09:53, E24, 16, Overcast, BKN020OVC085, 13.3, 7.8, 13.9, 2.2, 70%, NA, NA, 75.74, 1009.7, , , 
---
Minute since start, Events per minute
1, 88
2, 75
3, 77
4, 96
5, 80
6, 89
7, 81
8, 83
9, 100
10, 89
11, 83
12, 85
13, 81
14, 94
15, 91
16, 90
17, 75
18, 104
19, 93
20, 89
21, 79
22, 98
23, 78
24, 92
25, 93
26, 89
27, 72
28, 94
29, 81
30, 85
31, 88
32, 95
33, 83
34, 88
35, 89
36, 83
37, 87
38, 86
39, 88
40, 93
41, 89
42, 98
43, 106
44, 97
45, 83
46, 99
47, 114
48, 89
49, 68
50, 95
51, 79
52, 91
53, 86
54, 89
55, 97
56, 78
57, 89
58, 82
59, 87
60, 75
