03/04/21 10:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
04, 11:53, S11, 16, A Few Clouds, FEW040, 15.6, 6.7, , , 56%, NA, NA, 76.91, 1025.3, , , 
---
Minute since start, Events per minute
1, 77
2, 86
3, 72
4, 70
5, 72
6, 90
7, 82
8, 81
9, 86
10, 74
11, 89
12, 76
13, 91
14, 95
15, 74
16, 86
17, 72
18, 90
19, 78
20, 69
21, 62
22, 73
23, 98
24, 85
25, 80
26, 83
27, 88
28, 86
29, 83
30, 82
31, 89
32, 78
33, 75
34, 84
35, 80
36, 90
37, 95
38, 81
39, 78
40, 81
41, 99
42, 79
43, 89
44, 104
45, 90
46, 92
47, 80
48, 94
49, 86
50, 67
51, 73
52, 78
53, 86
54, 77
55, 78
56, 88
57, 90
58, 78
59, 78
60, 85
