03/04/21 11:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
04, 12:53, S13, 16, Fair, CLR, 15.6, 6.1, , , 53%, NA, NA, 76.86, 1024.6, , , 
---
Minute since start, Events per minute
1, 79
2, 87
3, 87
4, 74
5, 90
6, 82
7, 93
8, 82
9, 71
10, 84
11, 112
12, 75
13, 87
14, 85
15, 86
16, 59
17, 90
18, 80
19, 74
20, 91
21, 99
22, 85
23, 84
24, 105
25, 89
26, 90
27, 78
28, 85
29, 97
30, 97
31, 95
32, 93
33, 86
34, 93
35, 92
36, 99
37, 87
38, 90
39, 90
40, 95
41, 73
42, 82
43, 77
44, 75
45, 72
46, 76
47, 98
48, 80
49, 83
50, 106
51, 76
52, 85
53, 89
54, 87
55, 82
56, 91
57, 81
58, 101
59, 80
60, 86
61, 1
