03/04/21 16:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
04, 16:53, SW10, 16, Fair, CLR, 15, 6.1, , , 56%, NA, NA, 76.84, 1024.4, , , 
---
Minute since start, Events per minute
1, 94
2, 91
3, 88
4, 71
5, 86
6, 81
7, 88
8, 85
9, 92
10, 107
11, 100
12, 90
13, 96
14, 82
15, 94
16, 88
17, 73
18, 95
19, 89
20, 84
21, 99
22, 87
23, 81
24, 69
25, 80
26, 81
27, 81
28, 84
29, 85
30, 96
31, 84
32, 81
33, 68
34, 106
35, 92
36, 83
37, 92
38, 96
39, 87
40, 81
41, 92
42, 81
43, 78
44, 67
45, 79
46, 75
47, 85
48, 83
49, 77
50, 82
51, 71
52, 99
53, 75
54, 70
55, 85
56, 81
57, 73
58, 68
59, 83
60, 86
