03/04/21 08:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
04, 08:53, E8, 16, Fair, CLR, 13.3, 7.8, , , 70%, NA, NA, 76.81, 1023.9, , , 
---
Minute since start, Events per minute
1, 71
2, 80
3, 81
4, 93
5, 96
6, 85
7, 86
8, 103
9, 78
10, 95
11, 78
12, 81
13, 82
14, 85
15, 81
16, 108
17, 82
18, 98
19, 67
20, 90
21, 76
22, 74
23, 74
24, 71
25, 76
26, 88
27, 78
28, 93
29, 78
30, 73
31, 86
32, 82
33, 79
34, 83
35, 74
36, 89
37, 92
38, 73
39, 72
40, 74
41, 91
42, 95
43, 81
44, 66
45, 82
46, 97
47, 82
48, 90
49, 72
50, 89
51, 86
52, 70
53, 81
54, 87
55, 82
56, 74
57, 80
58, 87
59, 87
60, 93
