03/04/21 08:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
04, 08:53, E8, 16, Fair, CLR, 13.3, 7.8, , , 70%, NA, NA, 76.81, 1023.9, , , 
---
Incident number, relative time since start, timestamp
1, 1.8935357360023772, 2021-03-04 09:00:03.752875
2, 3.0628317119990243, 2021-03-04 09:00:04.922211
3, 5.731638786994154, 2021-03-04 09:00:07.591021
4, 7.203735228002188, 2021-03-04 09:00:09.063122
5, 7.327591331995791, 2021-03-04 09:00:09.186988
6, 8.444350566001958, 2021-03-04 09:00:10.303739
7, 9.638290585993673, 2021-03-04 09:00:11.497682
8, 9.778131175000453, 2021-03-04 09:00:11.637528
9, 10.75364437099779, 2021-03-04 09:00:12.613038
10, 11.918676119996235, 2021-03-04 09:00:13.778068
11, 12.914369949998218, 2021-03-04 09:00:14.773754
12, 15.712230288001592, 2021-03-04 09:00:17.571614
13, 16.18952597900352, 2021-03-04 09:00:18.048921
14, 17.024874573005945, 2021-03-04 09:00:18.884270
15, 17.282254581994493, 2021-03-04 09:00:19.141651
16, 18.04028473899234, 2021-03-04 09:00:19.899676
17, 18.199931581999408, 2021-03-04 09:00:20.059328
18, 22.636009844994987, 2021-03-04 09:00:24.495397
19, 22.96656881099625, 2021-03-04 09:00:24.825964
20, 23.10852854499535, 2021-03-04 09:00:24.967925
21, 24.338136456004577, 2021-03-04 09:00:26.197527
22, 24.607066330005182, 2021-03-04 09:00:26.466463
23, 24.993004706004285, 2021-03-04 09:00:26.852400
24, 25.461009621998528, 2021-03-04 09:00:27.320401
25, 25.793950268998742, 2021-03-04 09:00:27.653346
26, 26.591388293993077, 2021-03-04 09:00:28.450784
27, 26.66812021700025, 2021-03-04 09:00:28.527517
28, 28.772033535002265, 2021-03-04 09:00:30.631423
29, 29.71794054999191, 2021-03-04 09:00:31.577332
30, 29.729088371997932, 2021-03-04 09:00:31.588485
31, 30.716504312993493, 2021-03-04 09:00:32.575900
32, 30.9815412809985, 2021-03-04 09:00:32.840938
33, 33.08996166399447, 2021-03-04 09:00:34.949351
34, 34.11824044099194, 2021-03-04 09:00:35.977632
35, 35.62271753999812, 2021-03-04 09:00:37.482108
36, 36.4939302480052, 2021-03-04 09:00:38.353322
37, 37.58306172500306, 2021-03-04 09:00:39.442452
38, 37.70691320599872, 2021-03-04 09:00:39.566310
39, 38.1414267319924, 2021-03-04 09:00:40.000822
40, 39.965696525003295, 2021-03-04 09:00:41.825086
41, 40.00201646199275, 2021-03-04 09:00:41.861413
42, 40.25812302700069, 2021-03-04 09:00:42.117519
43, 40.66351227500127, 2021-03-04 09:00:42.522904
44, 41.512358049993054, 2021-03-04 09:00:43.371751
45, 41.87649521700223, 2021-03-04 09:00:43.735892
46, 42.6862529850041, 2021-03-04 09:00:44.545648
47, 43.54257309700188, 2021-03-04 09:00:45.401967
48, 44.052728199996636, 2021-03-04 09:00:45.912124
49, 44.64864001900423, 2021-03-04 09:00:46.508034
50, 48.68459400899883, 2021-03-04 09:00:50.543984
51, 49.32684507599333, 2021-03-04 09:00:51.186237
52, 49.6320534760016, 2021-03-04 09:00:51.491447
53, 50.00786003899702, 2021-03-04 09:00:51.867256
54, 50.36955769799533, 2021-03-04 09:00:52.228954
55, 50.95492795300379, 2021-03-04 09:00:52.814324
56, 51.67738750699209, 2021-03-04 09:00:53.536781
57, 51.87340415699873, 2021-03-04 09:00:53.732801
58, 52.354683432000456, 2021-03-04 09:00:54.214080
59, 53.102609517998644, 2021-03-04 09:00:54.962005
60, 53.697191248997115, 2021-03-04 09:00:55.556584
61, 54.8041140849964, 2021-03-04 09:00:56.663509
62, 55.52351892000297, 2021-03-04 09:00:57.382914
63, 55.904844795004465, 2021-03-04 09:00:57.764240
64, 55.96836644099676, 2021-03-04 09:00:57.827763
65, 56.532413157998235, 2021-03-04 09:00:58.391809
66, 57.51845961199433, 2021-03-04 09:00:59.377856
67, 58.353474952993565, 2021-03-04 09:01:00.212870
68, 58.45652935199905, 2021-03-04 09:01:00.315926
