03/05/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
05, 13:53, SW23, 16, Fair, CLR, 18.9, 6.7, , , 45%, NA, NA, 76.4, 1018.5, , , 
---
Minute since start, Events per minute
1, 103
2, 88
3, 71
4, 94
5, 71
6, 92
7, 80
8, 83
9, 92
10, 73
11, 89
12, 88
13, 91
14, 79
15, 78
16, 88
17, 95
18, 81
19, 80
20, 77
21, 88
22, 91
23, 90
24, 82
25, 76
26, 91
27, 86
28, 86
29, 82
30, 95
31, 72
32, 84
33, 90
34, 97
35, 73
36, 84
37, 80
38, 86
39, 87
40, 82
41, 85
42, 86
43, 86
44, 68
45, 78
46, 81
47, 88
48, 82
49, 77
50, 82
51, 87
52, 72
53, 86
54, 93
55, 85
56, 88
57, 74
58, 82
59, 105
60, 76
