03/06/21 00:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
06, 00:53, N24G40, 16, Fair, CLR, 12.8, 5, , , 59%, NA, NA, 76.33, 1017.5, , , 
---
Minute since start, Events per minute
1, 73
2, 90
3, 83
4, 94
5, 91
6, 92
7, 87
8, 94
9, 104
10, 93
11, 93
12, 79
13, 99
14, 77
15, 83
16, 79
17, 97
18, 93
19, 94
20, 93
21, 89
22, 99
23, 80
24, 79
25, 78
26, 102
27, 91
28, 92
29, 92
30, 76
31, 95
32, 77
33, 79
34, 73
35, 81
36, 99
37, 97
38, 91
39, 84
40, 83
41, 95
42, 86
43, 100
44, 97
45, 96
46, 80
47, 89
48, 102
49, 75
50, 80
51, 75
52, 63
53, 88
54, 90
55, 85
56, 89
57, 93
58, 94
59, 78
60, 99
