03/06/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
06, 16:53, SW5, 16, A Few Clouds, FEW049, 18.3, 10, , , 59%, NA, NA, 76.07, 1014.1, , , 
---
Minute since start, Events per minute
1, 94
2, 64
3, 78
4, 80
5, 85
6, 86
7, 77
8, 93
9, 66
10, 62
11, 79
12, 85
13, 102
14, 80
15, 92
16, 85
17, 91
18, 76
19, 90
20, 102
21, 74
22, 94
23, 79
24, 78
25, 87
26, 99
27, 83
28, 75
29, 96
30, 78
31, 76
32, 59
33, 82
34, 83
35, 77
36, 66
37, 97
38, 69
39, 96
40, 83
41, 73
42, 79
43, 72
44, 70
45, 89
46, 73
47, 95
48, 77
49, 77
50, 80
51, 76
52, 100
53, 83
54, 87
55, 85
56, 93
57, 71
58, 79
59, 79
60, 107
