03/06/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
06, 21:53, E8, 16, Fair, CLR, 13.9, 8.9, 19.4, 12.8, 72%, NA, NA, 76.23, 1016.1, , , 
---
Minute since start, Events per minute
1, 93
2, 112
3, 96
4, 84
5, 91
6, 83
7, 77
8, 91
9, 75
10, 83
11, 83
12, 85
13, 66
14, 108
15, 88
16, 88
17, 79
18, 63
19, 89
20, 90
21, 92
22, 88
23, 94
24, 79
25, 100
26, 84
27, 83
28, 93
29, 82
30, 79
31, 90
32, 87
33, 77
34, 86
35, 98
36, 83
37, 92
38, 81
39, 80
40, 84
41, 89
42, 98
43, 84
44, 90
45, 79
46, 82
47, 65
48, 88
49, 81
50, 98
51, 87
52, 66
53, 75
54, 72
55, 98
56, 70
57, 87
58, 74
59, 98
60, 82
