03/06/21 23:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
06, 23:53, E10, 13, Fair, CLR, 12.2, 10, , , 87%, NA, NA, 76.2, 1015.8, , , 
---
Minute since start, Events per minute
1, 87
2, 72
3, 81
4, 91
5, 79
6, 77
7, 79
8, 81
9, 78
10, 75
11, 85
12, 77
13, 83
14, 87
15, 77
16, 77
17, 88
18, 97
19, 93
20, 88
21, 86
22, 83
23, 99
24, 83
25, 89
26, 93
27, 71
28, 80
29, 82
30, 84
31, 94
32, 96
33, 83
34, 84
35, 90
36, 76
37, 88
38, 74
39, 94
40, 94
41, 87
42, 104
43, 91
44, 93
45, 91
46, 86
47, 82
48, 90
49, 71
50, 93
51, 73
52, 94
53, 76
54, 93
55, 95
56, 87
57, 67
58, 86
59, 74
60, 70
