03/07/21 10:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 10:53, SE10, 16, Overcast, OVC025, 14.4, 9.4, , , 72%, NA, NA, 76.4, 1018.6, , , 
---
Incident number, relative time since start, timestamp
1, 0.4097957930061966, 2021-03-07 11:00:03.005360
2, 0.5569199020392261, 2021-03-07 11:00:03.152522
3, 0.8118422820116393, 2021-03-07 11:00:03.407446
4, 1.582080174004659, 2021-03-07 11:00:04.177656
5, 1.7127304350142367, 2021-03-07 11:00:04.308331
6, 2.331958658993244, 2021-03-07 11:00:04.927568
7, 3.283791635010857, 2021-03-07 11:00:05.879408
8, 3.4440007260418497, 2021-03-07 11:00:06.039617
9, 4.156645774026401, 2021-03-07 11:00:06.752264
10, 4.165978344040923, 2021-03-07 11:00:06.761597
11, 4.19624338299036, 2021-03-07 11:00:06.791863
12, 4.70376510603819, 2021-03-07 11:00:07.299377
13, 5.190737369004637, 2021-03-07 11:00:07.786355
14, 6.7554627020144835, 2021-03-07 11:00:09.351074
15, 7.175815495022107, 2021-03-07 11:00:09.771434
16, 7.475019893026911, 2021-03-07 11:00:10.070638
17, 8.437151163001545, 2021-03-07 11:00:11.032769
18, 9.193529472046066, 2021-03-07 11:00:11.789148
19, 9.670737888023723, 2021-03-07 11:00:12.266356
20, 10.115554193034768, 2021-03-07 11:00:12.711173
21, 10.945085047045723, 2021-03-07 11:00:13.540704
22, 11.39117088203784, 2021-03-07 11:00:13.986790
23, 13.355440382030793, 2021-03-07 11:00:15.951056
24, 13.490945789031684, 2021-03-07 11:00:16.086565
25, 14.055688168038614, 2021-03-07 11:00:16.651307
26, 14.117847529996652, 2021-03-07 11:00:16.713467
27, 14.373191872029565, 2021-03-07 11:00:16.968811
28, 14.876864015997853, 2021-03-07 11:00:17.472483
29, 15.346693225030322, 2021-03-07 11:00:17.942312
30, 15.488914082001429, 2021-03-07 11:00:18.084534
31, 16.309306088020094, 2021-03-07 11:00:18.904925
32, 17.140151752042584, 2021-03-07 11:00:19.735771
33, 18.9258355590282, 2021-03-07 11:00:21.521453
34, 19.05566929001361, 2021-03-07 11:00:21.651288
35, 19.127598397026304, 2021-03-07 11:00:21.723218
36, 19.69821756501915, 2021-03-07 11:00:22.293837
37, 19.832229755993467, 2021-03-07 11:00:22.427849
38, 20.54342867800733, 2021-03-07 11:00:23.139047
39, 21.291601939010434, 2021-03-07 11:00:23.887221
40, 23.20686995302094, 2021-03-07 11:00:25.802487
41, 23.3749625729979, 2021-03-07 11:00:25.970582
42, 23.705464916012716, 2021-03-07 11:00:26.301084
43, 25.89194010203937, 2021-03-07 11:00:28.487559
44, 26.0085268690018, 2021-03-07 11:00:28.604146
45, 26.640889870992396, 2021-03-07 11:00:29.236508
46, 27.184660664992407, 2021-03-07 11:00:29.780280
47, 27.859320758027025, 2021-03-07 11:00:30.454940
48, 28.109526330023073, 2021-03-07 11:00:30.705145
49, 28.846181708038785, 2021-03-07 11:00:31.441800
50, 29.1136955540278, 2021-03-07 11:00:31.709315
51, 30.205056617036462, 2021-03-07 11:00:32.800673
52, 30.67314470204292, 2021-03-07 11:00:33.268763
53, 31.07853956799954, 2021-03-07 11:00:33.674156
54, 32.085535026039, 2021-03-07 11:00:34.681152
55, 32.22448426799383, 2021-03-07 11:00:34.820099
56, 32.51506285404321, 2021-03-07 11:00:35.110675
57, 32.72840217303019, 2021-03-07 11:00:35.324020
58, 33.15862369100796, 2021-03-07 11:00:35.754242
59, 33.899088116013445, 2021-03-07 11:00:36.494704
60, 33.94012549100444, 2021-03-07 11:00:36.535744
61, 34.72887843300123, 2021-03-07 11:00:37.324496
62, 35.25323838402983, 2021-03-07 11:00:37.848851
63, 35.36789094202686, 2021-03-07 11:00:37.963510
64, 35.4090897400165, 2021-03-07 11:00:38.004705
65, 36.05862029502168, 2021-03-07 11:00:38.654238
66, 36.99339484103257, 2021-03-07 11:00:39.589012
67, 37.510944098990876, 2021-03-07 11:00:40.106563
68, 37.940407845017035, 2021-03-07 11:00:40.536027
69, 38.24604013003409, 2021-03-07 11:00:40.841660
70, 38.33957631600788, 2021-03-07 11:00:40.935196
71, 38.434874711034354, 2021-03-07 11:00:41.030494
72, 38.60029244504403, 2021-03-07 11:00:41.195912
73, 39.914366891025566, 2021-03-07 11:00:42.509984
74, 39.95587186800549, 2021-03-07 11:00:42.551490
75, 40.10974531399552, 2021-03-07 11:00:42.705365
76, 40.20778902800521, 2021-03-07 11:00:42.803408
77, 40.317799188022036, 2021-03-07 11:00:42.913415
78, 41.16752232401632, 2021-03-07 11:00:43.763140
79, 42.00853813602589, 2021-03-07 11:00:44.604152
80, 42.14370372204576, 2021-03-07 11:00:44.739323
81, 42.555759764043614, 2021-03-07 11:00:45.151378
82, 42.89953030401375, 2021-03-07 11:00:45.495149
83, 44.11202439904446, 2021-03-07 11:00:46.707642
