03/07/21 11:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 11:53, SE13, 16, Overcast, OVC025, 15, 10, , , 72%, NA, NA, 76.38, 1018.2, , , 
---
Minute since start, Events per minute
1, 88
2, 85
3, 92
4, 91
5, 89
6, 96
7, 90
8, 90
9, 90
10, 102
11, 79
12, 80
13, 91
14, 77
15, 79
16, 99
17, 94
18, 84
19, 84
20, 77
21, 95
22, 79
23, 83
24, 105
25, 91
26, 79
27, 89
28, 77
29, 87
30, 96
31, 98
32, 62
33, 77
34, 93
35, 79
36, 86
37, 90
38, 80
39, 92
40, 76
41, 98
42, 85
43, 81
44, 79
45, 78
46, 101
47, 86
48, 73
49, 87
50, 94
51, 75
52, 96
53, 93
54, 87
55, 80
56, 76
57, 85
58, 87
59, 82
60, 70
