03/07/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 12:53, SE10, 16, Overcast, OVC025, 14.4, 9.4, , , 72%, NA, NA, 76.33, 1017.5, , , 
---
Minute since start, Events per minute
1, 77
2, 74
3, 83
4, 74
5, 84
6, 73
7, 84
8, 82
9, 86
10, 86
11, 97
12, 79
13, 70
14, 93
15, 78
16, 86
17, 76
18, 76
19, 68
20, 89
21, 85
22, 90
23, 70
24, 78
25, 75
26, 88
27, 107
28, 100
29, 70
30, 79
31, 81
32, 86
33, 87
34, 95
35, 82
36, 87
37, 67
38, 88
39, 88
40, 79
41, 96
42, 93
43, 93
44, 84
45, 86
46, 85
47, 83
48, 82
49, 81
50, 86
51, 74
52, 79
53, 74
54, 97
55, 82
56, 89
57, 87
58, 83
59, 81
60, 70
61, 1
