03/07/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 15:53, SW14, 16, Mostly Cloudy, BKN026, 15, 10, 15.6, 14.4, 72%, NA, NA, 76.28, 1016.8, , , 
---
Minute since start, Events per minute
1, 93
2, 92
3, 88
4, 86
5, 81
6, 71
7, 92
8, 87
9, 85
10, 82
11, 65
12, 77
13, 83
14, 70
15, 66
16, 85
17, 86
18, 73
19, 81
20, 89
21, 79
22, 77
23, 81
24, 69
25, 92
26, 67
27, 91
28, 89
29, 74
30, 98
31, 87
32, 81
33, 89
34, 80
35, 85
36, 70
37, 87
38, 95
39, 81
40, 86
41, 96
42, 74
43, 82
44, 68
45, 102
46, 93
47, 74
48, 94
49, 69
50, 89
51, 92
52, 100
53, 79
54, 78
55, 86
56, 89
57, 86
58, 84
59, 102
60, 103
