03/07/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 16:53, W14, 16, Mostly Cloudy, BKN026, 13.9, 10, , , 78%, NA, NA, 76.28, 1016.9, , , 
---
Minute since start, Events per minute
1, 93
2, 92
3, 101
4, 91
5, 82
6, 68
7, 89
8, 88
9, 79
10, 95
11, 87
12, 80
13, 80
14, 94
15, 80
16, 83
17, 97
18, 71
19, 86
20, 87
21, 83
22, 87
23, 92
24, 91
25, 83
26, 73
27, 71
28, 92
29, 74
30, 97
31, 87
32, 88
33, 85
34, 91
35, 99
36, 79
37, 87
38, 80
39, 82
40, 90
41, 80
42, 97
43, 76
44, 85
45, 89
46, 82
47, 93
48, 74
49, 80
50, 77
51, 89
52, 97
53, 72
54, 87
55, 80
56, 91
57, 100
58, 80
59, 83
60, 89
