03/07/21 18:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 19:53, Calm, 16, Overcast, BKN028OVC034, 13.3, 9.4, , , 77%, NA, NA, 76.38, 1018.1, , , 
---
Minute since start, Events per minute
1, 93
2, 63
3, 82
4, 71
5, 90
6, 66
7, 79
8, 82
9, 96
10, 86
11, 84
12, 84
13, 80
14, 77
15, 90
16, 82
17, 88
18, 77
19, 76
20, 92
21, 91
22, 79
23, 80
24, 87
25, 92
26, 91
27, 96
28, 85
29, 88
30, 91
31, 101
32, 85
33, 86
34, 87
35, 75
36, 82
37, 82
38, 89
39, 76
40, 90
41, 76
42, 82
43, 71
44, 89
45, 95
46, 81
47, 77
48, 74
49, 82
50, 69
51, 74
52, 87
53, 78
54, 86
55, 78
56, 84
57, 91
58, 83
59, 92
60, 80
