03/07/21 19:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 20:53, S5, 16, Overcast, BKN028OVC037, 12.8, 9.4, , , 80%, NA, NA, 76.38, 1018.2, , , 
---
Minute since start, Events per minute
1, 70
2, 91
3, 90
4, 86
5, 94
6, 100
7, 89
8, 101
9, 88
10, 92
11, 80
12, 93
13, 82
14, 74
15, 88
16, 93
17, 79
18, 83
19, 88
20, 98
21, 95
22, 68
23, 86
24, 77
25, 90
26, 87
27, 81
28, 71
29, 82
30, 77
31, 85
32, 74
33, 81
34, 94
35, 75
36, 74
37, 77
38, 76
39, 76
40, 78
41, 109
42, 87
43, 77
44, 85
45, 81
46, 111
47, 92
48, 86
49, 80
50, 94
51, 109
52, 88
53, 78
54, 90
55, 80
56, 81
57, 73
58, 79
59, 84
60, 90
