03/07/21 20:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 21:53, Calm, 16, Overcast, BKN028OVC037, 12.8, 9.4, 15, 12.8, 80%, NA, NA, 76.43, 1019.0, , , 
---
Minute since start, Events per minute
1, 88
2, 68
3, 83
4, 80
5, 94
6, 81
7, 69
8, 85
9, 76
10, 86
11, 74
12, 93
13, 83
14, 99
15, 74
16, 82
17, 100
18, 82
19, 94
20, 97
21, 91
22, 87
23, 88
24, 86
25, 71
26, 89
27, 79
28, 73
29, 79
30, 79
31, 82
32, 76
33, 75
34, 81
35, 87
36, 84
37, 68
38, 64
39, 82
40, 76
41, 90
42, 84
43, 79
44, 80
45, 92
46, 91
47, 70
48, 66
49, 95
50, 78
51, 91
52, 70
53, 87
54, 83
55, 78
56, 80
57, 94
58, 79
59, 88
60, 65
