03/07/21 21:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 22:53, SE5, 16, Overcast, FEW032OVC040, 12.8, 10, , , 83%, NA, NA, 76.45, 1019.1, , , 
---
Minute since start, Events per minute
1, 76
2, 73
3, 94
4, 85
5, 73
6, 92
7, 90
8, 103
9, 99
10, 82
11, 68
12, 87
13, 93
14, 77
15, 82
16, 84
17, 91
18, 93
19, 81
20, 75
21, 69
22, 77
23, 84
24, 88
25, 103
26, 80
27, 78
28, 100
29, 97
30, 73
31, 72
32, 93
33, 86
34, 73
35, 83
36, 81
37, 96
38, 70
39, 94
40, 108
41, 94
42, 87
43, 89
44, 90
45, 87
46, 81
47, 81
48, 90
49, 83
50, 80
51, 79
52, 85
53, 86
54, 95
55, 81
56, 90
57, 80
58, 97
59, 95
60, 90
