03/07/21 22:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 23:53, S5, 16, Overcast, FEW042OVC050, 12.2, 9.4, , , 83%, NA, NA, 76.43, 1018.8, , , 
---
Minute since start, Events per minute
1, 77
2, 78
3, 91
4, 67
5, 93
6, 86
7, 86
8, 89
9, 83
10, 89
11, 77
12, 89
13, 76
14, 85
15, 76
16, 85
17, 92
18, 79
19, 73
20, 75
21, 88
22, 82
23, 85
24, 84
25, 90
26, 75
27, 84
28, 77
29, 75
30, 103
31, 88
32, 78
33, 87
34, 86
35, 85
36, 64
37, 111
38, 78
39, 91
40, 89
41, 76
42, 90
43, 94
44, 86
45, 82
46, 83
47, 84
48, 100
49, 100
50, 90
51, 62
52, 89
53, 80
54, 77
55, 76
56, 68
57, 78
58, 93
59, 84
60, 75
