03/07/21 02:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 02:53, NE5, 16, Fair, CLR, 9.4, 6.1, , , 80%, NA, NA, 76.17, 1015.5, , , 
---
Minute since start, Events per minute
1, 94
2, 99
3, 82
4, 91
5, 99
6, 77
7, 78
8, 91
9, 87
10, 81
11, 88
12, 83
13, 82
14, 101
15, 89
16, 75
17, 92
18, 65
19, 87
20, 78
21, 79
22, 77
23, 85
24, 90
25, 81
26, 90
27, 86
28, 85
29, 77
30, 92
31, 84
32, 88
33, 84
34, 92
35, 78
36, 88
37, 82
38, 93
39, 79
40, 61
41, 91
42, 93
43, 70
44, 86
45, 76
46, 78
47, 92
48, 73
49, 78
50, 88
51, 70
52, 88
53, 79
54, 84
55, 79
56, 86
57, 76
58, 79
59, 65
60, 91
61, 1
