03/07/21 03:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 03:53, E8, 16, Fair, CLR, 10, 8.3, 13.9, 8.3, 89%, 8.9, NA, 76.17, 1015.5, , , 
---
Minute since start, Events per minute
1, 96
2, 72
3, 72
4, 93
5, 75
6, 80
7, 64
8, 95
9, 91
10, 93
11, 75
12, 91
13, 75
14, 88
15, 90
16, 80
17, 81
18, 86
19, 88
20, 82
21, 70
22, 89
23, 97
24, 90
25, 94
26, 101
27, 85
28, 75
29, 82
30, 81
31, 82
32, 100
33, 93
34, 88
35, 89
36, 94
37, 82
38, 84
39, 76
40, 94
41, 76
42, 76
43, 75
44, 75
45, 89
46, 93
47, 85
48, 84
49, 107
50, 69
51, 83
52, 99
53, 88
54, 82
55, 60
56, 90
57, 72
58, 80
59, 94
60, 78
