03/07/21 06:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
07, 06:53, NE8, 16, Overcast, OVC018, 12.2, 9.4, , , 83%, NA, NA, 76.25, 1016.4, , , 
---
Minute since start, Events per minute
1, 99
2, 97
3, 88
4, 90
5, 86
6, 87
7, 97
8, 83
9, 76
10, 96
11, 77
12, 78
13, 84
14, 74
15, 96
16, 85
17, 95
18, 98
19, 78
20, 69
21, 77
22, 82
23, 91
24, 85
25, 86
26, 91
27, 75
28, 94
29, 92
30, 89
31, 91
32, 93
33, 80
34, 88
35, 87
36, 94
37, 69
38, 87
39, 87
40, 85
41, 85
42, 97
43, 66
44, 86
45, 76
46, 69
47, 79
48, 90
49, 83
50, 91
51, 86
52, 89
53, 82
54, 77
55, 85
56, 81
57, 80
58, 73
59, 67
60, 79
