03/07/21 23:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
08, 00:53, NW5, 16, Overcast, OVC050, 12.2, 7.8, , , 75%, NA, NA, 76.45, 1019.1, , , 
---
Minute since start, Events per minute
1, 72
2, 101
3, 83
4, 78
5, 83
6, 82
7, 62
8, 71
9, 87
10, 73
11, 89
12, 88
13, 92
14, 79
15, 98
16, 86
17, 95
18, 86
19, 77
20, 74
21, 91
22, 87
23, 75
24, 79
25, 89
26, 89
27, 80
28, 89
29, 86
30, 95
31, 84
32, 86
33, 87
34, 67
35, 74
36, 81
37, 64
38, 98
39, 78
40, 75
41, 89
42, 80
43, 86
44, 89
45, 91
46, 82
47, 92
48, 84
49, 72
50, 79
51, 67
52, 81
53, 76
54, 81
55, 77
56, 77
57, 69
58, 104
59, 93
60, 82
