03/08/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
08, 10:53, NW13, 16, Fair, CLR, 19.4, 2.2, , , 32%, NA, NA, 76.63, 1021.7, , , 
---
Minute since start, Events per minute
1, 74
2, 87
3, 87
4, 98
5, 77
6, 77
7, 91
8, 101
9, 82
10, 84
11, 81
12, 68
13, 63
14, 86
15, 88
16, 105
17, 83
18, 80
19, 91
20, 89
21, 84
22, 96
23, 90
24, 89
25, 60
26, 110
27, 81
28, 85
29, 83
30, 100
31, 81
32, 100
33, 90
34, 98
35, 87
36, 72
37, 82
38, 91
39, 85
40, 67
41, 95
42, 90
43, 79
44, 86
45, 93
46, 69
47, 79
48, 91
49, 89
50, 82
51, 79
52, 76
53, 88
54, 94
55, 86
56, 88
57, 94
58, 79
59, 89
60, 91
