03/08/21 16:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
08, 16:53, NA, 16, Fair, CLR, 18.9, 1.1, , , 30%, NA, NA, 76.5, 1019.8, , , 
---
Minute since start, Events per minute
1, 57
2, 77
3, 75
4, 84
5, 77
6, 82
7, 63
8, 89
9, 75
10, 89
11, 97
12, 98
13, 70
14, 95
15, 97
16, 62
17, 82
18, 89
19, 92
20, 98
21, 77
22, 65
23, 70
24, 87
25, 82
26, 87
27, 90
28, 87
29, 90
30, 86
31, 74
32, 83
33, 70
34, 95
35, 79
36, 83
37, 76
38, 92
39, 99
40, 89
41, 98
42, 98
43, 90
44, 73
45, 89
46, 86
47, 79
48, 77
49, 80
50, 84
51, 66
52, 82
53, 77
54, 94
55, 69
56, 75
57, 95
58, 103
59, 79
60, 84
