03/08/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
08, 02:53, W11, 14, Overcast, BKN035OVC055, 12.2, 9.4, , , 83%, NA, NA, 76.45, 1019.2, , , 
---
Minute since start, Events per minute
1, 62
2, 103
3, 83
4, 93
5, 87
6, 74
7, 80
8, 83
9, 85
10, 78
11, 89
12, 93
13, 86
14, 88
15, 84
16, 77
17, 84
18, 79
19, 84
20, 90
21, 82
22, 73
23, 85
24, 89
25, 85
26, 87
27, 88
28, 89
29, 90
30, 94
31, 75
32, 88
33, 86
34, 70
35, 83
36, 79
37, 84
38, 65
39, 71
40, 82
41, 84
42, 87
43, 86
44, 79
45, 99
46, 77
47, 63
48, 96
49, 85
50, 98
51, 69
52, 85
53, 80
54, 75
55, 86
56, 79
57, 79
58, 81
59, 93
60, 73
