03/09/21 13:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
09, 14:53, W34G42, 16, Partly Cloudy and Breezy, SCT065, 15, 6.1, , , 56%, NA, NA, 76.48, 1019.7, , , 
---
Minute since start, Events per minute
1, 83
2, 76
3, 74
4, 82
5, 76
6, 92
7, 91
8, 84
9, 78
10, 80
11, 74
12, 86
13, 81
14, 73
15, 74
16, 74
17, 80
18, 80
19, 78
20, 69
21, 78
22, 78
23, 82
24, 89
25, 69
26, 92
27, 83
28, 73
29, 96
30, 80
31, 86
32, 83
33, 92
34, 106
35, 89
36, 84
37, 88
38, 77
39, 85
40, 80
41, 99
42, 103
43, 80
44, 90
45, 81
46, 92
47, 74
48, 90
49, 80
50, 88
51, 62
52, 93
53, 81
54, 87
55, 75
56, 95
57, 103
58, 90
59, 101
60, 84
