03/09/21 13:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
09, 14:53, W34G42, 16, Partly Cloudy and Breezy, SCT065, 15, 6.1, , , 56%, NA, NA, 76.48, 1019.7, , , 
---
Incident number, relative time since start, timestamp
1, 0.7198068120051175, 2021-03-09 14:00:02.537866
2, 0.7209356609964743, 2021-03-09 14:00:02.539029
3, 1.5601932600839064, 2021-03-09 14:00:03.378274
4, 1.7633477310882881, 2021-03-09 14:00:03.581416
5, 2.0653140540234745, 2021-03-09 14:00:03.883396
6, 2.071382664027624, 2021-03-09 14:00:03.889482
7, 3.349215409019962, 2021-03-09 14:00:05.167311
8, 3.885223487042822, 2021-03-09 14:00:05.703323
9, 4.055926240049303, 2021-03-09 14:00:05.874025
10, 6.200964220101014, 2021-03-09 14:00:08.019054
11, 6.555323117063381, 2021-03-09 14:00:08.373419
12, 7.975378065020777, 2021-03-09 14:00:09.793477
13, 7.9957675790647045, 2021-03-09 14:00:09.813868
14, 8.898325776099227, 2021-03-09 14:00:10.716421
15, 9.8333301540697, 2021-03-09 14:00:11.651425
16, 10.43308661703486, 2021-03-09 14:00:12.251184
17, 10.433193541015498, 2021-03-09 14:00:12.251294
18, 10.71660798205994, 2021-03-09 14:00:12.534708
19, 10.745286215096712, 2021-03-09 14:00:12.563387
20, 10.808765308000147, 2021-03-09 14:00:12.626866
21, 11.42044555209577, 2021-03-09 14:00:13.238543
22, 11.775546065997332, 2021-03-09 14:00:13.593647
23, 13.31772108701989, 2021-03-09 14:00:15.135820
24, 13.534364514052868, 2021-03-09 14:00:15.352465
25, 13.750196068082005, 2021-03-09 14:00:15.568297
26, 13.951120821060613, 2021-03-09 14:00:15.769221
27, 15.03445077210199, 2021-03-09 14:00:16.852549
28, 15.437158077023923, 2021-03-09 14:00:17.255258
29, 15.457908067037351, 2021-03-09 14:00:17.276009
30, 16.7285656130407, 2021-03-09 14:00:18.546663
31, 17.685807751026005, 2021-03-09 14:00:19.503907
32, 17.728542207041755, 2021-03-09 14:00:19.546643
33, 17.82717876508832, 2021-03-09 14:00:19.645279
34, 18.088883976102807, 2021-03-09 14:00:19.906985
35, 18.404856987064704, 2021-03-09 14:00:20.222957
36, 19.3642899740953, 2021-03-09 14:00:21.182390
37, 19.7850238380488, 2021-03-09 14:00:21.603124
38, 19.816586739034392, 2021-03-09 14:00:21.634687
39, 21.60030856600497, 2021-03-09 14:00:23.418407
40, 22.20770435302984, 2021-03-09 14:00:24.025805
41, 22.47387259406969, 2021-03-09 14:00:24.291973
42, 23.409723978023976, 2021-03-09 14:00:25.227824
43, 23.915534261032008, 2021-03-09 14:00:25.733635
44, 24.85901737504173, 2021-03-09 14:00:26.677117
45, 26.539158347062767, 2021-03-09 14:00:28.357257
46, 30.324121399084106, 2021-03-09 14:00:32.142215
47, 31.551190454047173, 2021-03-09 14:00:33.369286
48, 31.863987487042323, 2021-03-09 14:00:33.682087
49, 32.38362573902123, 2021-03-09 14:00:34.201725
50, 32.69759615708608, 2021-03-09 14:00:34.515697
51, 32.95494943007361, 2021-03-09 14:00:34.773049
52, 32.96946053404827, 2021-03-09 14:00:34.787561
53, 36.431878553004935, 2021-03-09 14:00:38.249970
54, 37.22323920310009, 2021-03-09 14:00:39.041337
55, 38.176122481003404, 2021-03-09 14:00:39.994218
56, 40.25535144202877, 2021-03-09 14:00:42.073443
57, 41.42944862006698, 2021-03-09 14:00:43.247548
58, 42.93358568102121, 2021-03-09 14:00:44.751685
59, 43.09727923106402, 2021-03-09 14:00:44.915380
60, 43.20345404010732, 2021-03-09 14:00:45.021555
61, 43.96085809310898, 2021-03-09 14:00:45.778955
62, 46.72986164910253, 2021-03-09 14:00:48.547953
63, 46.84553954307921, 2021-03-09 14:00:48.663638
64, 47.31213282607496, 2021-03-09 14:00:49.130233
65, 47.368673047050834, 2021-03-09 14:00:49.186770
66, 47.53830054309219, 2021-03-09 14:00:49.356401
67, 48.0379000720568, 2021-03-09 14:00:49.856000
68, 49.03931129304692, 2021-03-09 14:00:50.857407
69, 49.530163482995704, 2021-03-09 14:00:51.348263
70, 50.06646369001828, 2021-03-09 14:00:51.884564
71, 50.788187696016394, 2021-03-09 14:00:52.606283
72, 50.941768838092685, 2021-03-09 14:00:52.759869
73, 51.13356007600669, 2021-03-09 14:00:52.951660
74, 53.48151545901783, 2021-03-09 14:00:55.299615
75, 53.52508769603446, 2021-03-09 14:00:55.343185
76, 54.113131379010156, 2021-03-09 14:00:55.931231
77, 54.348423429066315, 2021-03-09 14:00:56.166524
78, 54.75617955310736, 2021-03-09 14:00:56.574277
79, 56.68895048799459, 2021-03-09 14:00:58.507047
80, 57.44263901805971, 2021-03-09 14:00:59.260739
81, 57.98048430902418, 2021-03-09 14:00:59.798580
82, 58.26137365109753, 2021-03-09 14:01:00.079473
83, 59.08299732301384, 2021-03-09 14:01:00.901095
84, 59.16285856103059, 2021-03-09 14:01:00.980959
85, 59.82020117610227, 2021-03-09 14:01:01.638288
86, 60.325432325014845, 2021-03-09 14:01:02.143504
87, 62.28496254805941, 2021-03-09 14:01:04.103048
88, 62.543770610005595, 2021-03-09 14:01:04.361871
89, 64.0971344220452, 2021-03-09 14:01:05.915233
90, 65.42922455607913, 2021-03-09 14:01:07.247319
91, 66.91552834003232, 2021-03-09 14:01:08.733620
92, 67.03513649606612, 2021-03-09 14:01:08.853237
93, 67.27795118500944, 2021-03-09 14:01:09.096051
94, 67.32614244904835, 2021-03-09 14:01:09.144242
95, 67.41274184000213, 2021-03-09 14:01:09.230842
96, 68.64490108704194, 2021-03-09 14:01:10.463000
97, 69.12765874201432, 2021-03-09 14:01:10.945755
98, 72.53834841807839, 2021-03-09 14:01:14.356442
99, 72.70992610102985, 2021-03-09 14:01:14.528016
100, 73.01510727603454, 2021-03-09 14:01:14.833207
101, 73.81008464307524, 2021-03-09 14:01:15.628183
102, 77.04472007206641, 2021-03-09 14:01:18.862812
103, 77.17923728807364, 2021-03-09 14:01:18.997337
104, 78.02692748501431, 2021-03-09 14:01:19.845027
105, 78.03176313708536, 2021-03-09 14:01:19.849864
106, 78.51192948804237, 2021-03-09 14:01:20.330029
107, 79.52179678110406, 2021-03-09 14:01:21.339896
108, 80.11253902909812, 2021-03-09 14:01:21.930639
109, 80.57613957300782, 2021-03-09 14:01:22.394240
110, 82.2866630780045, 2021-03-09 14:01:24.104760
111, 82.43401165108662, 2021-03-09 14:01:24.252112
112, 83.02620578010101, 2021-03-09 14:01:24.844304
113, 83.22709229507018, 2021-03-09 14:01:25.045193
114, 84.31946655607317, 2021-03-09 14:01:26.137566
115, 84.78777583001647, 2021-03-09 14:01:26.605876
116, 85.81474044010974, 2021-03-09 14:01:27.632840
117, 86.31632239907049, 2021-03-09 14:01:28.134422
118, 86.5091851730831, 2021-03-09 14:01:28.327285
119, 88.65017146302853, 2021-03-09 14:01:30.468271
120, 89.5270872360561, 2021-03-09 14:01:31.345187
121, 89.80160614103079, 2021-03-09 14:01:31.619707
122, 90.48820712999441, 2021-03-09 14:01:32.306304
123, 91.18706570903305, 2021-03-09 14:01:33.005165
124, 92.6464005310554, 2021-03-09 14:01:34.464498
125, 93.85642791201826, 2021-03-09 14:01:35.674523
126, 94.00681457808241, 2021-03-09 14:01:35.824915
127, 95.63484591606539, 2021-03-09 14:01:37.452942
128, 96.27920308802277, 2021-03-09 14:01:38.097302
129, 96.83590042509604, 2021-03-09 14:01:38.653997
130, 97.42026532802265, 2021-03-09 14:01:39.238364
131, 97.55561497306917, 2021-03-09 14:01:39.373715
132, 99.6665949660819, 2021-03-09 14:01:41.484693
133, 99.69692776107695, 2021-03-09 14:01:41.515028
134, 100.19570903200656, 2021-03-09 14:01:42.013806
135, 100.45399116107728, 2021-03-09 14:01:42.272091
136, 100.54202184209134, 2021-03-09 14:01:42.360122
137, 100.67937024706043, 2021-03-09 14:01:42.497469
138, 101.10657858999912, 2021-03-09 14:01:42.924678
139, 101.39547469501849, 2021-03-09 14:01:43.213575
140, 102.20307324209716, 2021-03-09 14:01:44.021173
141, 102.21932190703228, 2021-03-09 14:01:44.037423
142, 103.6819334590109, 2021-03-09 14:01:45.500024
143, 104.49943945102859, 2021-03-09 14:01:46.317537
144, 105.06347546400502, 2021-03-09 14:01:46.881576
145, 105.11347837105859, 2021-03-09 14:01:46.931579
146, 105.73416757804807, 2021-03-09 14:01:47.552268
147, 108.20422225806396, 2021-03-09 14:01:50.022316
148, 108.50547387904953, 2021-03-09 14:01:50.323571
149, 109.53538821008988, 2021-03-09 14:01:51.353483
150, 110.1246836790815, 2021-03-09 14:01:51.942783
151, 110.26746448304038, 2021-03-09 14:01:52.085565
152, 112.83658582007047, 2021-03-09 14:01:54.654685
153, 113.43437633803114, 2021-03-09 14:01:55.252476
154, 113.55986571207177, 2021-03-09 14:01:55.377966
155, 113.67190262908116, 2021-03-09 14:01:55.490003
156, 113.81589064502623, 2021-03-09 14:01:55.633991
157, 114.94315890409052, 2021-03-09 14:01:56.761258
158, 114.97302979102824, 2021-03-09 14:01:56.791130
159, 115.54254153708462, 2021-03-09 14:01:57.360642
160, 116.562952566077, 2021-03-09 14:01:58.381052
161, 119.93010478501674, 2021-03-09 14:02:01.748201
162, 120.15221284306608, 2021-03-09 14:02:01.970313
163, 122.75919031910598, 2021-03-09 14:02:04.577283
164, 122.82912679505534, 2021-03-09 14:02:04.647227
165, 125.72464242903516, 2021-03-09 14:02:07.542737
166, 125.84623486700002, 2021-03-09 14:02:07.664335
167, 125.85297532007098, 2021-03-09 14:02:07.671076
168, 126.2475593551062, 2021-03-09 14:02:08.065659
169, 126.52646240906324, 2021-03-09 14:02:08.344559
170, 126.58524669206236, 2021-03-09 14:02:08.403347
171, 127.27185643906705, 2021-03-09 14:02:09.089956
172, 127.87930964201223, 2021-03-09 14:02:09.697410
173, 127.98457214899827, 2021-03-09 14:02:09.802673
174, 128.24199853406753, 2021-03-09 14:02:10.060099
175, 129.1083731490653, 2021-03-09 14:02:10.926472
176, 132.13921203208156, 2021-03-09 14:02:13.957308
177, 132.6173793480266, 2021-03-09 14:02:14.435479
178, 132.75860768707935, 2021-03-09 14:02:14.576708
179, 133.56053948309273, 2021-03-09 14:02:15.378640
180, 134.8889062810922, 2021-03-09 14:02:16.707007
181, 135.70523072010837, 2021-03-09 14:02:17.523331
182, 137.02361605199985, 2021-03-09 14:02:18.841714
183, 138.24881946109235, 2021-03-09 14:02:20.066919
184, 139.87945105310064, 2021-03-09 14:02:21.697551
185, 140.02262144407723, 2021-03-09 14:02:21.840722
186, 141.7824475930538, 2021-03-09 14:02:23.600547
187, 141.92940656805877, 2021-03-09 14:02:23.747507
188, 142.2385464020772, 2021-03-09 14:02:24.056647
189, 142.38835803000256, 2021-03-09 14:02:24.206459
190, 144.09318604203872, 2021-03-09 14:02:25.911286
191, 144.41121590707917, 2021-03-09 14:02:26.229316
192, 145.09707072807942, 2021-03-09 14:02:26.915171
193, 145.50148136599455, 2021-03-09 14:02:27.319580
194, 146.01249158603605, 2021-03-09 14:02:27.830592
195, 146.27888168010395, 2021-03-09 14:02:28.096982
196, 146.38488574908115, 2021-03-09 14:02:28.202986
197, 148.04777690803166, 2021-03-09 14:02:29.865872
198, 148.27298798400443, 2021-03-09 14:02:30.091086
199, 149.31767480110284, 2021-03-09 14:02:31.135774
200, 149.84314408607315, 2021-03-09 14:02:31.661243
201, 152.15699730510823, 2021-03-09 14:02:33.975096
202, 152.65569963108283, 2021-03-09 14:02:34.473797
203, 154.90195428708103, 2021-03-09 14:02:36.720053
204, 155.06658658804372, 2021-03-09 14:02:36.884687
205, 157.2849454440875, 2021-03-09 14:02:39.103039
206, 157.34482701006345, 2021-03-09 14:02:39.162928
207, 159.6579196760431, 2021-03-09 14:02:41.476017
208, 159.83420983201358, 2021-03-09 14:02:41.652310
209, 161.90927939210087, 2021-03-09 14:02:43.727378
210, 162.36636086401995, 2021-03-09 14:02:44.184461
211, 164.28706944803707, 2021-03-09 14:02:46.105169
212, 165.0038908390561, 2021-03-09 14:02:46.821990
213, 166.0340795890661, 2021-03-09 14:02:47.852180
214, 166.7892734920606, 2021-03-09 14:02:48.607372
215, 166.8345087521011, 2021-03-09 14:02:48.652609
216, 167.0132942260243, 2021-03-09 14:02:48.831395
217, 167.6832612080034, 2021-03-09 14:02:49.501362
218, 168.15799955301918, 2021-03-09 14:02:49.976100
219, 168.56167236401234, 2021-03-09 14:02:50.379772
220, 168.70130920608062, 2021-03-09 14:02:50.519410
221, 168.86654167505912, 2021-03-09 14:02:50.684642
222, 169.12911275809165, 2021-03-09 14:02:50.947209
223, 169.5241368591087, 2021-03-09 14:02:51.342237
224, 172.06858721503522, 2021-03-09 14:02:53.886684
225, 172.92583812901285, 2021-03-09 14:02:54.743938
226, 173.50667245103978, 2021-03-09 14:02:55.324772
227, 174.2611396460561, 2021-03-09 14:02:56.079240
228, 175.2743192811031, 2021-03-09 14:02:57.092415
229, 175.54605685500428, 2021-03-09 14:02:57.364157
230, 175.57745639805216, 2021-03-09 14:02:57.395557
231, 176.06047520507127, 2021-03-09 14:02:57.878576
232, 177.30160115810577, 2021-03-09 14:02:59.119700
233, 179.11430517106783, 2021-03-09 14:03:00.932404
234, 179.23463131510653, 2021-03-09 14:03:01.052732
235, 179.41706900601275, 2021-03-09 14:03:01.235169
236, 181.39394611807074, 2021-03-09 14:03:03.212040
237, 183.24260681204032, 2021-03-09 14:03:05.060696
238, 183.3998312620679, 2021-03-09 14:03:05.217931
239, 184.41645489400253, 2021-03-09 14:03:06.234551
240, 185.53781924699433, 2021-03-09 14:03:07.355919
241, 188.43613312602974, 2021-03-09 14:03:10.254231
242, 189.17284072109032, 2021-03-09 14:03:10.990941
243, 193.60189239506144, 2021-03-09 14:03:15.419982
244, 194.57733952708077, 2021-03-09 14:03:16.395439
245, 196.9561174660921, 2021-03-09 14:03:18.774210
246, 197.57468136004172, 2021-03-09 14:03:19.392781
247, 198.0937100989977, 2021-03-09 14:03:19.911810
248, 198.52652703900822, 2021-03-09 14:03:20.344628
249, 199.25138191401493, 2021-03-09 14:03:21.069482
250, 199.36116146005224, 2021-03-09 14:03:21.179262
251, 200.9098271150142, 2021-03-09 14:03:22.727927
252, 201.33654474501964, 2021-03-09 14:03:23.154645
253, 202.160983770038, 2021-03-09 14:03:23.979084
254, 202.8638846090762, 2021-03-09 14:03:24.681985
255, 203.26230835507158, 2021-03-09 14:03:25.080409
256, 203.8174766820157, 2021-03-09 14:03:25.635577
257, 203.87853942706715, 2021-03-09 14:03:25.696640
258, 204.87882257206365, 2021-03-09 14:03:26.696922
259, 205.64490943704732, 2021-03-09 14:03:27.463006
260, 205.79788084304892, 2021-03-09 14:03:27.615981
261, 206.94933463900816, 2021-03-09 14:03:28.767430
262, 207.9540617170278, 2021-03-09 14:03:29.772160
263, 208.72413791704457, 2021-03-09 14:03:30.542238
264, 209.1511108080158, 2021-03-09 14:03:30.969211
265, 209.25833583506756, 2021-03-09 14:03:31.076437
266, 210.27690097608138, 2021-03-09 14:03:32.094996
267, 210.36763769108802, 2021-03-09 14:03:32.185738
268, 210.55205023603048, 2021-03-09 14:03:32.370150
269, 210.70107392407954, 2021-03-09 14:03:32.519174
270, 211.48672266909853, 2021-03-09 14:03:33.304823
271, 211.74342937907204, 2021-03-09 14:03:33.561530
272, 211.88387866609264, 2021-03-09 14:03:33.701979
273, 213.01380101707764, 2021-03-09 14:03:34.831898
274, 214.20052253408358, 2021-03-09 14:03:36.018622
275, 214.43962434399873, 2021-03-09 14:03:36.257725
276, 215.01320429809857, 2021-03-09 14:03:36.831305
277, 215.06109986407682, 2021-03-09 14:03:36.879201
278, 215.46325711300597, 2021-03-09 14:03:37.281358
279, 215.87279242707882, 2021-03-09 14:03:37.690893
280, 217.09460753609892, 2021-03-09 14:03:38.912706
281, 217.37210367503576, 2021-03-09 14:03:39.190204
282, 218.29318495700136, 2021-03-09 14:03:40.111285
283, 219.57822708110325, 2021-03-09 14:03:41.396327
284, 219.71492878207937, 2021-03-09 14:03:41.533030
285, 219.92187784810085, 2021-03-09 14:03:41.739979
286, 220.72747103404254, 2021-03-09 14:03:42.545571
287, 222.57566970807966, 2021-03-09 14:03:44.393768
288, 222.74636199104134, 2021-03-09 14:03:44.564463
289, 223.51549621205777, 2021-03-09 14:03:45.333597
290, 223.56693560699932, 2021-03-09 14:03:45.385036
291, 223.7702971250983, 2021-03-09 14:03:45.588398
292, 223.95175220503006, 2021-03-09 14:03:45.769853
293, 224.66174621204846, 2021-03-09 14:03:46.479846
294, 224.66789861605503, 2021-03-09 14:03:46.485999
295, 225.69569293002132, 2021-03-09 14:03:47.513793
296, 226.15191886899993, 2021-03-09 14:03:47.970019
297, 228.47799815109465, 2021-03-09 14:03:50.296093
298, 228.58305932104122, 2021-03-09 14:03:50.401160
299, 228.8893540080171, 2021-03-09 14:03:50.707454
300, 230.1991226670798, 2021-03-09 14:03:52.017222
301, 230.9020037370501, 2021-03-09 14:03:52.720103
302, 232.53836518607568, 2021-03-09 14:03:54.356465
303, 232.74648918001913, 2021-03-09 14:03:54.564590
304, 233.34462460305076, 2021-03-09 14:03:55.162723
305, 233.34473098802846, 2021-03-09 14:03:55.162832
306, 234.37047313107178, 2021-03-09 14:03:56.188572
307, 234.56930201209616, 2021-03-09 14:03:56.387402
308, 234.95777775603347, 2021-03-09 14:03:56.775878
309, 234.97723064303864, 2021-03-09 14:03:56.795332
310, 234.99363238108344, 2021-03-09 14:03:56.811733
311, 235.16186194703914, 2021-03-09 14:03:56.979963
312, 235.63395198609214, 2021-03-09 14:03:57.452052
313, 235.74886141507886, 2021-03-09 14:03:57.566962
314, 236.52883088309318, 2021-03-09 14:03:58.346930
315, 237.77099727501627, 2021-03-09 14:03:59.589097
316, 237.78365029906854, 2021-03-09 14:03:59.601751
317, 238.45101057109423, 2021-03-09 14:04:00.269111
318, 241.02054397109896, 2021-03-09 14:04:02.838636
319, 241.34918443101924, 2021-03-09 14:04:03.167285
320, 243.2728210290661, 2021-03-09 14:04:05.090917
321, 244.09082082402892, 2021-03-09 14:04:05.908921
322, 244.1790132781025, 2021-03-09 14:04:05.997113
323, 246.4900494790636, 2021-03-09 14:04:08.308147
324, 247.41107370902319, 2021-03-09 14:04:09.229172
325, 249.21483455807902, 2021-03-09 14:04:11.032929
326, 249.67930799501482, 2021-03-09 14:04:11.497408
327, 250.73982543009333, 2021-03-09 14:04:12.557925
328, 250.77244685508776, 2021-03-09 14:04:12.590548
329, 251.07212472206447, 2021-03-09 14:04:12.890225
330, 251.3954075460788, 2021-03-09 14:04:13.213508
331, 252.72863284603227, 2021-03-09 14:04:14.546732
332, 252.9954825140303, 2021-03-09 14:04:14.813583
333, 253.50404592510313, 2021-03-09 14:04:15.322146
334, 253.88276616309304, 2021-03-09 14:04:15.700867
335, 253.9408315710025, 2021-03-09 14:04:15.758932
336, 254.54876161704306, 2021-03-09 14:04:16.366857
337, 254.89927390904631, 2021-03-09 14:04:16.717374
338, 255.2345612270292, 2021-03-09 14:04:17.052659
339, 255.36064973310567, 2021-03-09 14:04:17.178750
340, 255.44986216409598, 2021-03-09 14:04:17.267963
341, 255.60025169199798, 2021-03-09 14:04:17.418352
342, 258.7158264541067, 2021-03-09 14:04:20.533923
343, 259.1258777990006, 2021-03-09 14:04:20.943978
344, 260.77761396206915, 2021-03-09 14:04:22.595713
345, 260.99372051307, 2021-03-09 14:04:22.811821
346, 262.9913494850043, 2021-03-09 14:04:24.809446
347, 263.2377732890891, 2021-03-09 14:04:25.055874
348, 264.71547180600464, 2021-03-09 14:04:26.533568
349, 264.9899816469988, 2021-03-09 14:04:26.808082
350, 265.03595020610373, 2021-03-09 14:04:26.854051
351, 266.74258282000665, 2021-03-09 14:04:28.560677
352, 266.83384361409117, 2021-03-09 14:04:28.651944
353, 268.08320640807506, 2021-03-09 14:04:29.901300
354, 268.34192268701736, 2021-03-09 14:04:30.160020
355, 268.5018781560939, 2021-03-09 14:04:30.319979
356, 268.7604446290061, 2021-03-09 14:04:30.578542
357, 269.723518008017, 2021-03-09 14:04:31.541615
358, 271.1264130540658, 2021-03-09 14:04:32.944512
359, 272.6924050740199, 2021-03-09 14:04:34.510503
360, 272.9208022480598, 2021-03-09 14:04:34.738903
361, 274.0530426860787, 2021-03-09 14:04:35.871143
362, 274.10311653802637, 2021-03-09 14:04:35.921217
363, 274.5825509830611, 2021-03-09 14:04:36.400648
364, 274.6475349990651, 2021-03-09 14:04:36.465636
365, 275.55261707108, 2021-03-09 14:04:37.370717
366, 278.3565588950878, 2021-03-09 14:04:40.174656
367, 278.38199396803975, 2021-03-09 14:04:40.200095
368, 278.76318566605914, 2021-03-09 14:04:40.581286
369, 279.64517320599407, 2021-03-09 14:04:41.463270
370, 280.20139133301564, 2021-03-09 14:04:42.019492
371, 280.8115297020413, 2021-03-09 14:04:42.629630
372, 282.6471335530514, 2021-03-09 14:04:44.465231
373, 282.6632526940666, 2021-03-09 14:04:44.481354
374, 283.49613704008516, 2021-03-09 14:04:45.314235
375, 283.7856767270714, 2021-03-09 14:04:45.603777
376, 284.5175709309988, 2021-03-09 14:04:46.335671
377, 285.3484239630634, 2021-03-09 14:04:47.166524
378, 286.671189279994, 2021-03-09 14:04:48.489287
379, 287.89821517199744, 2021-03-09 14:04:49.716316
380, 288.78673372603953, 2021-03-09 14:04:50.604833
381, 291.49256986007094, 2021-03-09 14:04:53.310670
382, 293.121890843031, 2021-03-09 14:04:54.939991
383, 293.13828301709145, 2021-03-09 14:04:54.956384
384, 294.54085928201675, 2021-03-09 14:04:56.358958
385, 295.9137949370779, 2021-03-09 14:04:57.731893
386, 296.9441278090235, 2021-03-09 14:04:58.762227
387, 297.16507674206514, 2021-03-09 14:04:58.983177
388, 297.3689396950649, 2021-03-09 14:04:59.187038
389, 298.0992763329996, 2021-03-09 14:04:59.917376
390, 298.11686344910413, 2021-03-09 14:04:59.934964
391, 298.2659368860768, 2021-03-09 14:05:00.084038
392, 298.9374151080847, 2021-03-09 14:05:00.755516
393, 299.81008280604146, 2021-03-09 14:05:01.628182
394, 300.44713568210136, 2021-03-09 14:05:02.265236
395, 300.96537582203746, 2021-03-09 14:05:02.783476
396, 300.9746265769936, 2021-03-09 14:05:02.792728
397, 301.22588382603135, 2021-03-09 14:05:03.043985
398, 302.4198036910966, 2021-03-09 14:05:04.237902
399, 302.4479100960307, 2021-03-09 14:05:04.266011
400, 302.671425976092, 2021-03-09 14:05:04.489527
401, 302.83519264904317, 2021-03-09 14:05:04.653293
402, 303.9584164690459, 2021-03-09 14:05:05.776511
403, 305.0301106250845, 2021-03-09 14:05:06.848208
404, 305.97322545805946, 2021-03-09 14:05:07.791323
405, 306.5910616350593, 2021-03-09 14:05:08.409162
406, 306.66586027806625, 2021-03-09 14:05:08.483961
407, 307.7206837920239, 2021-03-09 14:05:09.538783
408, 308.15879667608533, 2021-03-09 14:05:09.976897
409, 308.760596327018, 2021-03-09 14:05:10.578696
410, 309.1319982249988, 2021-03-09 14:05:10.950099
411, 309.61736194207333, 2021-03-09 14:05:11.435463
412, 309.6297904991079, 2021-03-09 14:05:11.447891
413, 309.63039710803423, 2021-03-09 14:05:11.448498
414, 310.0985599330161, 2021-03-09 14:05:11.916659
415, 310.94499952404294, 2021-03-09 14:05:12.763100
416, 311.75190022203606, 2021-03-09 14:05:13.569999
417, 312.08279290108476, 2021-03-09 14:05:13.900894
418, 312.7162961990107, 2021-03-09 14:05:14.534386
419, 313.8659333930118, 2021-03-09 14:05:15.684030
420, 314.7379555290099, 2021-03-09 14:05:16.556055
421, 315.05711604002863, 2021-03-09 14:05:16.875216
422, 315.4913967710454, 2021-03-09 14:05:17.309497
423, 315.9433868119959, 2021-03-09 14:05:17.761486
424, 316.040961328079, 2021-03-09 14:05:17.859062
425, 316.16036150907166, 2021-03-09 14:05:17.978459
426, 316.17848115204833, 2021-03-09 14:05:17.996582
427, 316.406703250017, 2021-03-09 14:05:18.224804
428, 317.57195854303427, 2021-03-09 14:05:19.390054
429, 318.83397329202853, 2021-03-09 14:05:20.652072
430, 319.32229737902526, 2021-03-09 14:05:21.140397
431, 319.84726275107823, 2021-03-09 14:05:21.665363
