03/09/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
09, 15:53, W27G42, 16, Fair, CLR, 14.4, 7.2, 18.3, 14.4, 62%, NA, NA, 76.48, 1019.5, , , 
---
Minute since start, Events per minute
1, 72
2, 98
3, 82
4, 80
5, 93
6, 88
7, 85
8, 92
9, 87
10, 81
11, 113
12, 87
13, 83
14, 94
15, 108
16, 90
17, 78
18, 91
19, 99
20, 88
21, 88
22, 100
23, 88
24, 81
25, 95
26, 98
27, 83
28, 94
29, 81
30, 88
31, 76
32, 96
33, 84
34, 90
35, 76
36, 110
37, 85
38, 82
39, 74
40, 92
41, 92
42, 97
43, 70
44, 98
45, 87
46, 78
47, 74
48, 85
49, 96
50, 80
51, 87
52, 99
53, 88
54, 96
55, 95
56, 92
57, 88
58, 79
59, 86
60, 58
