03/09/21 04:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
09, 05:53, N13, 16, Overcast, OVC080, 10.6, 1.1, , , 52%, NA, NA, 76.48, 1019.6, , , 
---
Incident number, relative time since start, timestamp
1, 0.2508302219794132, 2021-03-09 05:00:02.762163
2, 0.26664175098994747, 2021-03-09 05:00:02.778008
3, 1.1239415140007623, 2021-03-09 05:00:03.635300
4, 1.5979292209958658, 2021-03-09 05:00:04.109280
5, 1.631462546007242, 2021-03-09 05:00:04.142810
6, 1.8829846470034681, 2021-03-09 05:00:04.394329
7, 3.294616675004363, 2021-03-09 05:00:05.805967
8, 4.145452447002754, 2021-03-09 05:00:06.656817
9, 4.298363382986281, 2021-03-09 05:00:06.809731
10, 5.075856802985072, 2021-03-09 05:00:07.587224
11, 6.3224622220150195, 2021-03-09 05:00:08.833826
12, 8.243277171975933, 2021-03-09 05:00:10.754637
13, 8.653926183993462, 2021-03-09 05:00:11.165293
14, 8.91609062597854, 2021-03-09 05:00:11.427459
15, 9.91565894096857, 2021-03-09 05:00:12.427026
16, 10.80404932401143, 2021-03-09 05:00:13.315416
17, 12.21973627601983, 2021-03-09 05:00:14.731103
18, 12.342418721993454, 2021-03-09 05:00:14.853787
19, 12.612597554980312, 2021-03-09 05:00:15.123966
20, 14.390055493975524, 2021-03-09 05:00:16.901421
21, 15.924420360010117, 2021-03-09 05:00:18.435785
22, 18.05712274002144, 2021-03-09 05:00:20.568490
23, 18.66774467501091, 2021-03-09 05:00:21.179112
24, 18.946058216970414, 2021-03-09 05:00:21.457427
25, 19.05856587801827, 2021-03-09 05:00:21.569934
26, 19.715230936999433, 2021-03-09 05:00:22.226599
27, 20.50732605298981, 2021-03-09 05:00:23.018693
28, 21.37680792302126, 2021-03-09 05:00:23.888175
29, 22.79391523101367, 2021-03-09 05:00:25.305283
30, 22.86991199699696, 2021-03-09 05:00:25.381280
31, 23.001024482015055, 2021-03-09 05:00:25.512393
32, 23.578333147976082, 2021-03-09 05:00:26.089700
33, 24.07957456196891, 2021-03-09 05:00:26.590942
34, 24.490903879981488, 2021-03-09 05:00:27.002272
35, 24.80669188097818, 2021-03-09 05:00:27.318060
36, 25.072172233019955, 2021-03-09 05:00:27.583541
37, 25.540879928972572, 2021-03-09 05:00:28.052247
38, 25.582643582019955, 2021-03-09 05:00:28.094012
39, 25.63416368997423, 2021-03-09 05:00:28.145532
40, 26.651708940975368, 2021-03-09 05:00:29.163076
41, 26.768208654015325, 2021-03-09 05:00:29.279577
42, 27.738910070969723, 2021-03-09 05:00:30.250278
43, 28.914870750973932, 2021-03-09 05:00:31.426238
44, 30.01270741102053, 2021-03-09 05:00:32.524075
45, 31.755369775986765, 2021-03-09 05:00:34.266737
46, 31.812061416974757, 2021-03-09 05:00:34.323430
47, 32.00512994796736, 2021-03-09 05:00:34.516498
48, 32.25717433699174, 2021-03-09 05:00:34.768542
49, 32.39510491397232, 2021-03-09 05:00:34.906473
50, 32.65445038699545, 2021-03-09 05:00:35.165819
51, 32.87437219498679, 2021-03-09 05:00:35.385741
52, 33.39059510198422, 2021-03-09 05:00:35.901962
53, 33.88601798302261, 2021-03-09 05:00:36.397386
54, 34.863320805015974, 2021-03-09 05:00:37.374683
55, 34.968799443973694, 2021-03-09 05:00:37.480167
56, 37.93759750202298, 2021-03-09 05:00:40.448955
57, 37.99482941196766, 2021-03-09 05:00:40.506198
58, 38.88190072099678, 2021-03-09 05:00:41.393266
59, 39.052290460967924, 2021-03-09 05:00:41.563658
60, 39.18433004600229, 2021-03-09 05:00:41.695698
61, 39.83878151001409, 2021-03-09 05:00:42.350150
62, 40.72784171998501, 2021-03-09 05:00:43.239206
63, 41.67371186299715, 2021-03-09 05:00:44.185074
64, 41.687897873984184, 2021-03-09 05:00:44.199266
65, 41.74270398396766, 2021-03-09 05:00:44.254072
66, 42.25253686797805, 2021-03-09 05:00:44.763904
67, 43.71888267900795, 2021-03-09 05:00:46.230249
68, 44.36109299497912, 2021-03-09 05:00:46.872460
69, 44.439283062994946, 2021-03-09 05:00:46.950651
70, 45.848886932013556, 2021-03-09 05:00:48.360252
71, 46.26270665199263, 2021-03-09 05:00:48.774074
