03/09/21 23:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
10, 00:53, NE10, 13, Light Rain, SCT021BKN026OVC050, 8.3, 6.1, , , 86%, 6.7, NA, 76.43, 1018.8, 0.43, 0.76, 
---
Minute since start, Events per minute
1, 74
2, 81
3, 84
4, 85
5, 84
6, 88
7, 91
8, 72
9, 83
10, 77
11, 84
12, 78
13, 90
14, 87
15, 88
16, 82
17, 87
18, 75
19, 90
20, 89
21, 63
22, 89
23, 85
24, 75
25, 102
26, 90
27, 86
28, 88
29, 84
30, 82
31, 87
32, 91
33, 75
34, 98
35, 91
36, 88
37, 93
38, 97
39, 80
40, 88
41, 84
42, 84
43, 73
44, 76
45, 90
46, 82
47, 76
48, 82
49, 96
50, 84
51, 97
52, 86
53, 79
54, 93
55, 88
56, 82
57, 84
58, 91
59, 94
60, 81
