03/10/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
10, 18:53, Calm, 16, Mostly Cloudy, FEW038BKN060BKN100, 10, 5, , , 71%, NA, NA, 76.23, 1016.0, , , 
---
Minute since start, Events per minute
1, 80
2, 81
3, 80
4, 72
5, 87
6, 87
7, 109
8, 74
9, 87
10, 78
11, 93
12, 90
13, 84
14, 93
15, 96
16, 84
17, 73
18, 71
19, 80
20, 76
21, 76
22, 95
23, 65
24, 85
25, 101
26, 65
27, 112
28, 81
29, 77
30, 94
31, 89
32, 82
33, 83
34, 96
35, 74
36, 78
37, 88
38, 82
39, 91
40, 86
41, 74
42, 79
43, 92
44, 93
45, 89
46, 92
47, 72
48, 93
49, 93
50, 93
51, 77
52, 87
53, 81
54, 77
55, 113
56, 83
57, 89
58, 95
59, 88
60, 96
