03/10/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
10, 03:53, E5, 16, Overcast, BKN027BKN041OVC050, 8.9, 7.8, 10, 8.3, 93%, NA, NA, 76.28, 1016.7, 0.2, , 1.22
---
Minute since start, Events per minute
1, 80
2, 94
3, 80
4, 79
5, 81
6, 83
7, 83
8, 92
9, 94
10, 92
11, 80
12, 91
13, 98
14, 83
15, 81
16, 96
17, 80
18, 91
19, 90
20, 88
21, 72
22, 101
23, 71
24, 82
25, 91
26, 90
27, 84
28, 72
29, 89
30, 85
31, 65
32, 79
33, 76
34, 98
35, 88
36, 79
37, 90
38, 97
39, 100
40, 88
41, 89
42, 69
43, 106
44, 80
45, 88
46, 96
47, 93
48, 77
49, 91
50, 75
51, 100
52, 80
53, 83
54, 97
55, 81
56, 88
57, 74
58, 83
59, 81
60, 95
