03/11/21 02:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
11, 03:53, Calm, 16, A Few Clouds, FEW060, 5, 3.9, 8.3, 4.4, 93%, NA, NA, 76.2, 1015.9, , , 0.1
---
Minute since start, Events per minute
1, 109
2, 81
3, 85
4, 115
5, 83
6, 82
7, 90
8, 82
9, 92
10, 75
11, 98
12, 87
13, 84
14, 88
15, 87
16, 96
17, 84
18, 98
19, 94
20, 114
21, 79
22, 87
23, 94
24, 80
25, 74
26, 61
27, 87
28, 93
29, 102
30, 87
31, 79
32, 94
33, 86
34, 90
35, 91
36, 83
37, 100
38, 81
39, 87
40, 93
41, 82
42, 90
43, 95
44, 84
45, 87
46, 76
47, 80
48, 91
49, 97
50, 89
51, 78
52, 89
53, 85
54, 77
55, 88
56, 71
57, 86
58, 92
59, 91
60, 82
