03/11/21 04:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
11, 05:53, Calm, 16, Partly Cloudy, SCT040, 3.9, 2.8, , , 93%, NA, NA, 76.28, 1016.8, , , 
---
Minute since start, Events per minute
1, 84
2, 98
3, 82
4, 92
5, 84
6, 92
7, 98
8, 87
9, 83
10, 82
11, 97
12, 87
13, 72
14, 81
15, 79
16, 78
17, 88
18, 72
19, 85
20, 88
21, 82
22, 76
23, 86
24, 101
25, 77
26, 83
27, 99
28, 78
29, 78
30, 105
31, 72
32, 97
33, 86
34, 69
35, 75
36, 78
37, 84
38, 80
39, 84
40, 89
41, 97
42, 75
43, 69
44, 97
45, 83
46, 91
47, 95
48, 75
49, 89
50, 100
51, 86
52, 87
53, 75
54, 86
55, 86
56, 86
57, 89
58, 62
59, 71
60, 87
