03/12/21 18:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
12, 12:53, W29, 16, A Few Clouds, FEW055FEW070, 15.6, 6.1, , , 53%, NA, NA, 76.56, 1020.6, , , 
---
Minute since start, Events per minute
1, 77
2, 83
3, 74
4, 87
5, 80
6, 84
7, 96
8, 94
9, 74
10, 93
11, 92
12, 88
13, 98
14, 67
15, 77
16, 86
17, 73
18, 91
19, 81
20, 69
21, 79
22, 94
23, 88
24, 83
25, 86
26, 92
27, 81
28, 95
29, 88
30, 98
31, 88
32, 66
33, 90
34, 76
35, 86
36, 94
37, 78
38, 76
39, 89
40, 83
41, 91
42, 78
43, 95
44, 86
45, 88
46, 93
47, 87
48, 75
49, 91
50, 89
51, 98
52, 72
53, 74
54, 77
55, 89
56, 92
57, 86
58, 77
59, 79
60, 84
