03/12/21 20:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
12, 21:53, Calm, 16, Fair, CLR, 7.8, 6.1, 12.2, 7.2, 89%, NA, NA, 76.68, 1022.2, , , 0.25
---
Minute since start, Events per minute
1, 78
2, 84
3, 78
4, 97
5, 69
6, 75
7, 72
8, 95
9, 64
10, 70
11, 83
12, 93
13, 84
14, 76
15, 87
16, 69
17, 74
18, 97
19, 96
20, 70
21, 94
22, 82
23, 68
24, 88
25, 87
26, 94
27, 79
28, 80
29, 71
30, 93
31, 78
32, 76
33, 93
34, 83
35, 81
36, 77
37, 80
38, 88
39, 84
40, 94
41, 93
42, 81
43, 92
44, 88
45, 84
46, 69
47, 84
48, 84
49, 85
50, 115
51, 86
52, 80
53, 73
54, 94
55, 81
56, 82
57, 103
58, 91
59, 85
60, 105
