03/13/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
13, 13:53, W39G48, 16, Fair and Breezy, CLR, 17.2, 7.2, , , 52%, NA, NA, 76.71, 1022.7, , , 
---
Minute since start, Events per minute
1, 72
2, 72
3, 75
4, 74
5, 83
6, 100
7, 79
8, 86
9, 71
10, 79
11, 85
12, 90
13, 97
14, 83
15, 76
16, 94
17, 88
18, 94
19, 86
20, 85
21, 92
22, 69
23, 84
24, 86
25, 98
26, 90
27, 73
28, 81
29, 73
30, 85
31, 74
32, 100
33, 68
34, 78
35, 74
36, 99
37, 82
38, 85
39, 71
40, 83
41, 81
42, 97
43, 88
44, 83
45, 78
46, 99
47, 86
48, 92
49, 75
50, 75
51, 79
52, 79
53, 85
54, 90
55, 81
56, 81
57, 76
58, 96
59, 81
60, 85
