03/13/21 22:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
13, 23:53, N10, 16, Fair, CLR, 8.3, 5.6, , , 83%, 6.7, NA, 76.84, 1024.2, , , 
---
Minute since start, Events per minute
1, 76
2, 73
3, 86
4, 77
5, 77
6, 85
7, 76
8, 75
9, 99
10, 77
11, 92
12, 87
13, 95
14, 84
15, 98
16, 68
17, 84
18, 73
19, 84
20, 74
21, 93
22, 71
23, 87
24, 85
25, 93
26, 73
27, 87
28, 86
29, 88
30, 74
31, 82
32, 90
33, 94
34, 78
35, 89
36, 78
37, 87
38, 75
39, 93
40, 88
41, 84
42, 87
43, 85
44, 71
45, 92
46, 81
47, 87
48, 92
49, 75
50, 77
51, 86
52, 81
53, 72
54, 100
55, 103
56, 90
57, 83
58, 86
59, 79
60, 81
