03/13/21 02:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
13, 03:53, Vrbl10, 16, Fair, CLR, 8.9, 5, 11.1, 7.8, 77%, 7.2, NA, 76.68, 1022.3, , , 
---
Incident number, relative time since start, timestamp
1, 0.3216019299579784, 2021-03-13 03:00:02.312050
2, 0.8829078190028667, 2021-03-13 03:00:02.873384
3, 1.4028928589541465, 2021-03-13 03:00:03.393362
4, 1.7505568099441007, 2021-03-13 03:00:03.741044
5, 1.9767904799664393, 2021-03-13 03:00:03.967276
6, 2.9750725149642676, 2021-03-13 03:00:04.965550
7, 3.4093599549960345, 2021-03-13 03:00:05.399849
8, 3.605629587895237, 2021-03-13 03:00:05.596119
9, 3.9834108129143715, 2021-03-13 03:00:05.973900
10, 5.116670231916942, 2021-03-13 03:00:07.107156
11, 5.855625103926286, 2021-03-13 03:00:07.846100
12, 7.162986816954799, 2021-03-13 03:00:09.153459
13, 7.383423878927715, 2021-03-13 03:00:09.373912
14, 7.426457489957102, 2021-03-13 03:00:09.416947
15, 8.770961134927347, 2021-03-13 03:00:10.761450
16, 9.370790001936257, 2021-03-13 03:00:11.361275
17, 9.463932732003741, 2021-03-13 03:00:11.454422
18, 9.765758349909447, 2021-03-13 03:00:11.756243
19, 10.651618758914992, 2021-03-13 03:00:12.642102
20, 10.842711031902581, 2021-03-13 03:00:12.833199
21, 11.846633121953346, 2021-03-13 03:00:13.837117
22, 13.666842349921353, 2021-03-13 03:00:15.657323
23, 14.435615001944825, 2021-03-13 03:00:16.426097
24, 14.764105389011092, 2021-03-13 03:00:16.754594
25, 15.176358894910663, 2021-03-13 03:00:17.166847
26, 16.373363069957122, 2021-03-13 03:00:18.363851
27, 16.39467481500469, 2021-03-13 03:00:18.385164
28, 16.539302174933255, 2021-03-13 03:00:18.529791
29, 17.208961510914378, 2021-03-13 03:00:19.199450
30, 19.394879759987816, 2021-03-13 03:00:21.385364
31, 19.50398515595589, 2021-03-13 03:00:21.494475
32, 20.101068299962208, 2021-03-13 03:00:22.091552
33, 20.84802612499334, 2021-03-13 03:00:22.838514
34, 21.56911099900026, 2021-03-13 03:00:23.559599
35, 23.579969362006523, 2021-03-13 03:00:25.570455
36, 24.19210587395355, 2021-03-13 03:00:26.182594
37, 26.00877280300483, 2021-03-13 03:00:27.999261
38, 26.02797194093, 2021-03-13 03:00:28.018462
39, 26.251874879933894, 2021-03-13 03:00:28.242364
40, 26.754602594999596, 2021-03-13 03:00:28.745091
41, 27.155906243948266, 2021-03-13 03:00:29.146395
42, 27.265601016930304, 2021-03-13 03:00:29.256091
43, 29.471767809940502, 2021-03-13 03:00:31.462256
44, 31.708435148000717, 2021-03-13 03:00:33.698920
45, 31.73243711690884, 2021-03-13 03:00:33.722926
46, 34.34055310196709, 2021-03-13 03:00:36.331041
47, 35.840164584922604, 2021-03-13 03:00:37.830653
48, 35.95705608592834, 2021-03-13 03:00:37.947545
49, 36.95966768497601, 2021-03-13 03:00:38.950156
50, 37.03397589898668, 2021-03-13 03:00:39.024465
51, 37.06428196595516, 2021-03-13 03:00:39.054772
52, 39.19468546297867, 2021-03-13 03:00:41.185174
53, 40.043153242906556, 2021-03-13 03:00:42.033643
54, 41.3687407450052, 2021-03-13 03:00:43.359222
55, 42.827364890952595, 2021-03-13 03:00:44.817850
56, 44.58480680792127, 2021-03-13 03:00:46.575292
57, 44.97490206791554, 2021-03-13 03:00:46.965391
58, 47.16068769199774, 2021-03-13 03:00:49.151175
59, 47.845409008907154, 2021-03-13 03:00:49.835894
60, 48.143772159004584, 2021-03-13 03:00:50.134261
61, 49.32608346093912, 2021-03-13 03:00:51.316571
62, 49.92603627091739, 2021-03-13 03:00:51.916522
63, 49.9659733499866, 2021-03-13 03:00:51.956463
64, 50.332477502990514, 2021-03-13 03:00:52.322964
65, 51.673149651964195, 2021-03-13 03:00:53.663633
66, 52.15995458990801, 2021-03-13 03:00:54.150444
67, 52.8525333449943, 2021-03-13 03:00:54.843022
68, 53.79575800790917, 2021-03-13 03:00:55.786247
69, 59.39599417895079, 2021-03-13 03:01:01.386481
70, 62.99410512694158, 2021-03-13 03:01:04.984576
71, 63.40642585500609, 2021-03-13 03:01:05.396913
72, 64.29663784592412, 2021-03-13 03:01:06.287126
73, 65.72016159596387, 2021-03-13 03:01:07.710643
74, 67.86796399194282, 2021-03-13 03:01:09.858449
75, 68.28050443693064, 2021-03-13 03:01:10.270993
76, 68.49007878894918, 2021-03-13 03:01:10.480568
77, 68.6676100899931, 2021-03-13 03:01:10.658100
78, 71.55261294997763, 2021-03-13 03:01:13.543098
79, 72.86588767892681, 2021-03-13 03:01:14.856368
80, 73.53276514599565, 2021-03-13 03:01:15.523252
81, 73.53287208895199, 2021-03-13 03:01:15.523362
82, 73.58367210195865, 2021-03-13 03:01:15.574162
83, 75.24191565089859, 2021-03-13 03:01:17.232403
84, 75.47795453493018, 2021-03-13 03:01:17.468444
85, 75.49416297290009, 2021-03-13 03:01:17.484653
86, 75.76523927389644, 2021-03-13 03:01:17.755728
87, 75.79284752393141, 2021-03-13 03:01:17.783337
88, 76.28486871195491, 2021-03-13 03:01:18.275358
89, 77.09014056890737, 2021-03-13 03:01:19.080628
90, 77.09989382093772, 2021-03-13 03:01:19.090383
91, 77.98887181794271, 2021-03-13 03:01:19.979361
92, 78.3858381829923, 2021-03-13 03:01:20.376328
93, 79.24168550292961, 2021-03-13 03:01:21.232174
94, 79.39820746099576, 2021-03-13 03:01:21.388697
95, 79.40248907997739, 2021-03-13 03:01:21.392979
96, 79.76191205799114, 2021-03-13 03:01:21.752401
97, 81.11100763396826, 2021-03-13 03:01:23.101496
98, 81.87118958798237, 2021-03-13 03:01:23.861678
99, 81.96349381690379, 2021-03-13 03:01:23.953983
100, 82.22746018494945, 2021-03-13 03:01:24.217950
101, 83.24058207694907, 2021-03-13 03:01:25.231071
102, 83.39861563395243, 2021-03-13 03:01:25.389105
103, 84.14449168590363, 2021-03-13 03:01:26.134981
104, 84.1771058558952, 2021-03-13 03:01:26.167596
105, 84.75569955189712, 2021-03-13 03:01:26.746189
106, 85.13064783497248, 2021-03-13 03:01:27.121137
107, 85.97301086597145, 2021-03-13 03:01:27.963500
108, 86.91587346396409, 2021-03-13 03:01:28.906358
109, 87.57009512593504, 2021-03-13 03:01:29.560584
110, 88.13626017991919, 2021-03-13 03:01:30.126749
111, 88.4062263739761, 2021-03-13 03:01:30.396716
112, 89.6840074909851, 2021-03-13 03:01:31.674491
113, 90.49068972794339, 2021-03-13 03:01:32.481176
114, 91.64596878900193, 2021-03-13 03:01:33.636456
115, 92.81020881992299, 2021-03-13 03:01:34.800696
116, 93.71584406192414, 2021-03-13 03:01:35.706331
117, 93.91389082791284, 2021-03-13 03:01:35.904380
118, 94.27421189995948, 2021-03-13 03:01:36.264701
