03/13/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
13, 03:53, Vrbl10, 16, Fair, CLR, 8.9, 5, 11.1, 7.8, 77%, 7.2, NA, 76.68, 1022.3, , , 
---
Minute since start, Events per minute
1, 95
2, 83
3, 89
4, 75
5, 79
6, 70
7, 89
8, 87
9, 74
10, 68
11, 83
12, 77
13, 90
14, 85
15, 79
16, 91
17, 78
18, 92
19, 93
20, 81
21, 84
22, 99
23, 102
24, 78
25, 83
26, 96
27, 77
28, 79
29, 80
30, 84
31, 81
32, 78
33, 100
34, 89
35, 110
36, 87
37, 91
38, 85
39, 97
40, 83
41, 100
42, 92
43, 83
44, 92
45, 71
46, 73
47, 72
48, 84
49, 82
50, 96
51, 95
52, 105
53, 88
54, 84
55, 81
56, 80
57, 107
58, 96
59, 91
60, 89
