03/13/21 04:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
13, 05:53, N11, 16, Fair, CLR, 8.3, 5, , , 80%, 6.7, NA, 76.76, 1023.4, , , 
---
Minute since start, Events per minute
1, 79
2, 87
3, 90
4, 81
5, 82
6, 98
7, 74
8, 99
9, 76
10, 89
11, 89
12, 83
13, 81
14, 82
15, 62
16, 102
17, 93
18, 85
19, 80
20, 79
21, 80
22, 78
23, 71
24, 82
25, 88
26, 87
27, 83
28, 90
29, 92
30, 75
31, 105
32, 82
33, 76
34, 72
35, 94
36, 77
37, 84
38, 94
39, 77
40, 83
41, 83
42, 72
43, 99
44, 85
45, 70
46, 80
47, 78
48, 88
49, 74
50, 96
51, 87
52, 88
53, 79
54, 83
55, 98
56, 94
57, 102
58, 95
59, 78
60, 92
