03/14/21 10:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
14, 10:53, N14, 16, Partly Cloudy, SCT031, 14.4, 6.1, 15, 4.4, 58%, NA, NA, 76.86, 1024.7, , , 
---
Minute since start, Events per minute
1, 84
2, 71
3, 80
4, 101
5, 63
6, 79
7, 86
8, 83
9, 77
10, 75
11, 79
12, 88
13, 88
14, 83
15, 79
16, 92
17, 90
18, 79
19, 86
20, 70
21, 105
22, 74
23, 100
24, 84
25, 73
26, 80
27, 93
28, 81
29, 92
30, 96
31, 102
32, 87
33, 87
34, 91
35, 85
36, 91
37, 86
38, 70
39, 85
40, 86
41, 98
42, 78
43, 82
44, 72
45, 86
46, 72
47, 98
48, 84
49, 82
50, 87
51, 91
52, 93
53, 67
54, 72
55, 70
56, 77
57, 70
58, 83
59, 63
60, 96
