03/14/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
14, 18:53, S5, 16, Mostly Cloudy, SCT040BKN160, 13.9, 6.1, , , 60%, NA, NA, 76.48, 1019.7, , , 
---
Minute since start, Events per minute
1, 81
2, 92
3, 91
4, 82
5, 79
6, 78
7, 98
8, 76
9, 85
10, 83
11, 99
12, 82
13, 80
14, 92
15, 110
16, 81
17, 90
18, 90
19, 81
20, 76
21, 91
22, 91
23, 79
24, 98
25, 82
26, 70
27, 84
28, 83
29, 96
30, 86
31, 100
32, 72
33, 76
34, 90
35, 78
36, 91
37, 85
38, 72
39, 87
40, 84
41, 84
42, 105
43, 76
44, 82
45, 93
46, 112
47, 61
48, 83
49, 76
50, 81
51, 83
52, 82
53, 79
54, 87
55, 99
56, 86
57, 67
58, 66
59, 83
60, 87
