03/14/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
14, 18:53, S5, 16, Mostly Cloudy, SCT040BKN160, 13.9, 6.1, , , 60%, NA, NA, 76.48, 1019.7, , , 
---
Incident number, relative time since start, timestamp
1, 0.28475984500255436, 2021-03-14 18:00:02.955081
2, 1.2339747899677604, 2021-03-14 18:00:03.904313
3, 1.4426546309841797, 2021-03-14 18:00:04.112980
4, 1.8666824829997495, 2021-03-14 18:00:04.537022
5, 1.9724558989983052, 2021-03-14 18:00:04.642816
6, 4.501282311975956, 2021-03-14 18:00:07.171640
7, 4.907085625920445, 2021-03-14 18:00:07.577446
8, 5.608742729993537, 2021-03-14 18:00:08.279098
9, 5.995273664942943, 2021-03-14 18:00:08.665632
10, 6.63549798890017, 2021-03-14 18:00:09.305857
11, 7.1042142999358475, 2021-03-14 18:00:09.774571
12, 7.58378692693077, 2021-03-14 18:00:10.254146
13, 9.27464425493963, 2021-03-14 18:00:11.945003
14, 10.083873034920543, 2021-03-14 18:00:12.754234
15, 10.68155996198766, 2021-03-14 18:00:13.351921
16, 11.16148714593146, 2021-03-14 18:00:13.831848
17, 11.572573811979964, 2021-03-14 18:00:14.242935
18, 12.176318008918315, 2021-03-14 18:00:14.846678
19, 12.43142681196332, 2021-03-14 18:00:15.101787
20, 13.083987001911737, 2021-03-14 18:00:15.754348
21, 13.27867503289599, 2021-03-14 18:00:15.949036
22, 13.60553036397323, 2021-03-14 18:00:16.275891
23, 14.075084002921358, 2021-03-14 18:00:16.745445
24, 16.040072436910123, 2021-03-14 18:00:18.710432
25, 16.29955268499907, 2021-03-14 18:00:18.969913
26, 17.18193949793931, 2021-03-14 18:00:19.852300
27, 17.62436140596401, 2021-03-14 18:00:20.294722
28, 18.24541012395639, 2021-03-14 18:00:20.915771
29, 18.31417186895851, 2021-03-14 18:00:20.984534
30, 18.763303978950717, 2021-03-14 18:00:21.433665
31, 19.26159461599309, 2021-03-14 18:00:21.931956
32, 21.365179853979498, 2021-03-14 18:00:24.035540
33, 21.944992681965232, 2021-03-14 18:00:24.615354
34, 22.09222991298884, 2021-03-14 18:00:24.762591
35, 22.256346075912006, 2021-03-14 18:00:24.926707
36, 24.124583306955174, 2021-03-14 18:00:26.794943
37, 26.172130702994764, 2021-03-14 18:00:28.842491
38, 26.638278434984386, 2021-03-14 18:00:29.308639
39, 27.27942943200469, 2021-03-14 18:00:29.949790
40, 27.541126449010335, 2021-03-14 18:00:30.211488
41, 27.73371914192103, 2021-03-14 18:00:30.404081
42, 28.259267658926547, 2021-03-14 18:00:30.929629
43, 29.47415022889618, 2021-03-14 18:00:32.144511
44, 29.748863631975837, 2021-03-14 18:00:32.419225
45, 30.38016107492149, 2021-03-14 18:00:33.050519
46, 30.700954844010994, 2021-03-14 18:00:33.371316
47, 32.523757944931276, 2021-03-14 18:00:35.194110
48, 33.05673712491989, 2021-03-14 18:00:35.727097
49, 34.21418301493395, 2021-03-14 18:00:36.884541
50, 34.87642877793405, 2021-03-14 18:00:37.546789
51, 36.28940513799898, 2021-03-14 18:00:38.959764
52, 36.43395676789805, 2021-03-14 18:00:39.104318
53, 36.948461775900796, 2021-03-14 18:00:39.618823
54, 37.38978882599622, 2021-03-14 18:00:40.060146
55, 38.09169540996663, 2021-03-14 18:00:40.762056
56, 39.0305515039945, 2021-03-14 18:00:41.700911
57, 40.25860922294669, 2021-03-14 18:00:42.928969
58, 40.44913798291236, 2021-03-14 18:00:43.119497
59, 40.95087626099121, 2021-03-14 18:00:43.621237
60, 42.49982350994833, 2021-03-14 18:00:45.170183
61, 42.57206451497041, 2021-03-14 18:00:45.242426
62, 42.72529669792857, 2021-03-14 18:00:45.395658
63, 43.02565964998212, 2021-03-14 18:00:45.696021
64, 43.911820253008045, 2021-03-14 18:00:46.582180
65, 44.00401259295177, 2021-03-14 18:00:46.674374
66, 44.04265669290908, 2021-03-14 18:00:46.713018
67, 46.39569372497499, 2021-03-14 18:00:49.066051
68, 46.716968288994394, 2021-03-14 18:00:49.387329
69, 47.6733711239649, 2021-03-14 18:00:50.343731
70, 48.810338918934576, 2021-03-14 18:00:51.480699
71, 49.143812294933014, 2021-03-14 18:00:51.814174
72, 49.52961935591884, 2021-03-14 18:00:52.199981
73, 49.83735240495298, 2021-03-14 18:00:52.507714
74, 51.49273112299852, 2021-03-14 18:00:54.163092
75, 53.06065635289997, 2021-03-14 18:00:55.731016
76, 53.15836820891127, 2021-03-14 18:00:55.828730
77, 54.149367598001845, 2021-03-14 18:00:56.819727
78, 54.169505596975796, 2021-03-14 18:00:56.839867
79, 54.354354053968564, 2021-03-14 18:00:57.024715
80, 55.0816537149949, 2021-03-14 18:00:57.752015
81, 55.6552586479811, 2021-03-14 18:00:58.325620
82, 55.92293638794217, 2021-03-14 18:00:58.593298
83, 58.96624952193815, 2021-03-14 18:01:01.636594
