03/14/21 20:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
14, 21:53, Calm, 16, Mostly Cloudy, SCT040BKN160, 11.1, 5.6, , , 69%, NA, NA, 76.5, 1019.9, , , 
---
Minute since start, Events per minute
1, 73
2, 104
3, 107
4, 83
5, 65
6, 94
7, 106
8, 77
9, 86
10, 99
11, 86
12, 81
13, 81
14, 100
15, 97
16, 70
17, 84
18, 89
19, 85
20, 75
21, 98
22, 88
23, 87
24, 66
25, 83
26, 81
27, 99
28, 96
29, 82
30, 80
31, 89
32, 83
33, 87
34, 98
35, 83
36, 93
37, 79
38, 80
39, 84
40, 78
41, 96
42, 100
43, 92
44, 68
45, 85
46, 89
47, 84
48, 89
49, 83
50, 83
51, 81
52, 88
53, 86
54, 79
55, 86
56, 86
57, 98
58, 76
59, 109
60, 77
