03/15/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
15, 12:53, NW37G56, 16, Fair and Breezy, CLR, 14.4, 1.1, , , 41%, NA, NA, 76.23, 1016.1, , , 
---
Minute since start, Events per minute
1, 88
2, 102
3, 83
4, 79
5, 86
6, 83
7, 74
8, 91
9, 76
10, 77
11, 96
12, 83
13, 85
14, 83
15, 99
16, 75
17, 91
18, 85
19, 92
20, 70
21, 99
22, 91
23, 93
24, 87
25, 66
26, 71
27, 93
28, 89
29, 83
30, 88
31, 78
32, 77
33, 84
34, 92
35, 86
36, 75
37, 90
38, 73
39, 98
40, 71
41, 85
42, 86
43, 91
44, 74
45, 88
46, 78
47, 91
48, 90
49, 69
50, 67
51, 74
52, 81
53, 86
54, 79
55, 76
56, 65
57, 83
58, 70
59, 89
60, 76
