03/15/21 13:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
15, 13:53, N26G40, 16, Light Rain, SCT060, 14.4, 2.8, , , 46%, NA, NA, 76.17, 1015.3, , , 
---
Minute since start, Events per minute
1, 89
2, 76
3, 83
4, 79
5, 83
6, 92
7, 90
8, 82
9, 86
10, 69
11, 78
12, 86
13, 87
14, 89
15, 81
16, 73
17, 94
18, 82
19, 78
20, 82
21, 70
22, 92
23, 69
24, 78
25, 72
26, 79
27, 94
28, 70
29, 81
30, 77
31, 81
32, 94
33, 75
34, 73
35, 98
36, 82
37, 74
38, 79
39, 83
40, 89
41, 79
42, 90
43, 80
44, 66
45, 93
46, 100
47, 76
48, 76
49, 81
50, 89
51, 89
52, 82
53, 83
54, 83
55, 74
56, 86
57, 83
58, 94
59, 96
60, 65
61, 1
