03/15/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
14, 13:53, SW13, 16, Mostly Cloudy, SCT045BKN100, 13.9, 6.7, , , 62%, NA, NA, 76.76, 1023.4, , , 
---
Minute since start, Events per minute
1, 87
2, 88
3, 88
4, 67
5, 82
6, 81
7, 86
8, 92
9, 82
10, 95
11, 63
12, 86
13, 88
14, 79
15, 86
16, 75
17, 77
18, 88
19, 84
20, 90
21, 83
22, 87
23, 75
24, 72
25, 61
26, 78
27, 75
28, 81
29, 100
30, 80
31, 88
32, 87
33, 83
34, 66
35, 97
36, 90
37, 90
38, 74
39, 89
40, 74
41, 71
42, 85
43, 85
44, 80
45, 72
46, 87
47, 78
48, 92
49, 97
50, 79
51, 87
52, 85
53, 86
54, 76
55, 98
56, 76
57, 81
58, 74
59, 68
60, 98
