03/16/21 10:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
16, 10:53, S8, 16, Fair, CLR, 12.8, -0.6, 13.3, 1.7, 40%, NA, NA, 76.33, 1017.6, , , 
---
Minute since start, Events per minute
1, 89
2, 81
3, 103
4, 73
5, 84
6, 59
7, 90
8, 82
9, 83
10, 103
11, 78
12, 84
13, 96
14, 95
15, 80
16, 85
17, 87
18, 71
19, 102
20, 85
21, 82
22, 90
23, 80
24, 96
25, 88
26, 65
27, 84
28, 87
29, 76
30, 88
31, 86
32, 77
33, 81
34, 99
35, 93
36, 85
37, 90
38, 83
39, 89
40, 106
41, 83
42, 78
43, 75
44, 85
45, 99
46, 96
47, 79
48, 95
49, 91
50, 91
51, 90
52, 81
53, 82
54, 75
55, 86
56, 77
57, 84
58, 80
59, 73
60, 92
