03/16/21 16:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
16, 16:53, SE11, 16, Fair, CLR, 13.9, 7.2, 15, 12.8, 64%, NA, NA, 76.3, 1017.1, , , 
---
Minute since start, Events per minute
1, 79
2, 90
3, 83
4, 69
5, 88
6, 82
7, 92
8, 91
9, 84
10, 85
11, 93
12, 93
13, 90
14, 91
15, 82
16, 85
17, 87
18, 73
19, 61
20, 83
21, 71
22, 97
23, 70
24, 81
25, 77
26, 83
27, 74
28, 78
29, 99
30, 103
31, 95
32, 85
33, 87
34, 74
35, 91
36, 85
37, 89
38, 89
39, 79
40, 94
41, 70
42, 89
43, 104
44, 78
45, 93
46, 80
47, 96
48, 83
49, 88
50, 75
51, 78
52, 82
53, 88
54, 93
55, 93
56, 76
57, 67
58, 83
59, 80
60, 91
