03/16/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
16, 02:53, W16, 16, Fair, CLR, 6.7, 0, , , 63%, 3.9, NA, 76.15, 1015.3, , , 
---
Minute since start, Events per minute
1, 90
2, 85
3, 100
4, 76
5, 76
6, 83
7, 91
8, 77
9, 84
10, 78
11, 83
12, 86
13, 87
14, 105
15, 70
16, 83
17, 87
18, 79
19, 73
20, 81
21, 94
22, 85
23, 92
24, 89
25, 84
26, 83
27, 67
28, 80
29, 99
30, 90
31, 61
32, 76
33, 71
34, 85
35, 82
36, 81
37, 98
38, 82
39, 75
40, 95
41, 86
42, 77
43, 75
44, 77
45, 82
46, 80
47, 77
48, 77
49, 96
50, 77
51, 85
52, 93
53, 80
54, 80
55, 81
56, 84
57, 84
58, 76
59, 87
60, 78
