03/18/21 10:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 10:53, S10, 16, Partly Cloudy, SCT110, 14.4, 8.9, 14.4, 8.9, 70%, NA, NA, 76.61, 1021.1, , , 
---
Minute since start, Events per minute
1, 90
2, 87
3, 102
4, 91
5, 87
6, 91
7, 101
8, 80
9, 82
10, 86
11, 92
12, 87
13, 93
14, 105
15, 96
16, 73
17, 80
18, 78
19, 74
20, 73
21, 70
22, 86
23, 87
24, 78
25, 92
26, 79
27, 81
28, 67
29, 90
30, 92
31, 76
32, 70
33, 84
34, 88
35, 89
36, 103
37, 93
38, 82
39, 79
40, 93
41, 97
42, 95
43, 82
44, 98
45, 93
46, 97
47, 90
48, 79
49, 93
50, 84
51, 76
52, 95
53, 82
54, 91
55, 95
56, 91
57, 94
58, 72
59, 94
60, 68
